timestamp	averaging[s]	PM1 [�g/m�]	PM2.5 [�g/m�]	PM4 [�g/m�]	PM10 [�g/m�]	PMtot [�g/m�]	CO2 [ppm]	VOC [ppb]	VOC [mg/m�]	Cn [1/cm�]	M1,0 [�m]	M2,0 [�m�]	M3,0 [�m�]	x10(dCn) [�m]	x16(dCn) [�m]	x50(dCn) [�m]	x84(dCn) [�m]	x90(dCn) [�m]	Cn [1/m�]	PIA [1/m�]	T [�C]	p [hPa]	rH [%]	AQI - Palas	Infection Risk Index	volume flow [l/min]	power (volume flow blower) [%]	dN(�m) [P]	0.184462	0.198224	0.213013	0.228905	0.245984	0.264336	0.284057	0.30525	0.328024	0.352497	0.378797	0.407058	0.437427	0.470063	0.505133	0.54282	0.583319	0.626839	0.673606	0.723862	0.777868	0.835903	0.898268	0.965286	1.037304	1.114695	1.19786	1.28723	1.383267	1.48647	1.597372	1.716548	1.844616	1.982239	2.13013	2.289054	2.459835	2.643358	2.840573	3.052502	3.280243	3.524975	3.787966	4.070578	4.374274	4.700629	5.051333	5.428202	5.833189	6.26839	6.736061	7.238624	7.778682	8.359033	8.982682	9.652861	10.373039	11.146949	11.978599	12.872296	13.83267	14.864696	15.973718	17.165483
05.02.2024 00:00:00	10.00	0.23	0.23	0.24	0.24	0.24	391.00	907.00	4.10	9.03	0.24	0.06	0.01	0.19	0.20	0.22	0.29	0.30	9025774.00	0.00	24.11	998.00	36.91	79.00	0.02	1.38	25.00	->	0.54	2.68	1.16	0.95	0.69	1.20	0.55	1.07	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:00:10	10.00	0.26	0.26	0.27	0.27	0.27	391.00	910.30	4.11	8.87	0.24	0.06	0.01	0.20	0.20	0.23	0.28	0.30	8867427.15	0.00	24.11	998.03	36.88	79.00	0.02	1.38	25.00	->	0.32	1.91	1.45	1.26	1.31	0.90	0.77	0.58	0.21	0.12	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:00:20	10.00	0.36	0.37	0.38	0.38	0.38	391.00	909.20	4.11	9.72	0.25	0.07	0.02	0.20	0.21	0.23	0.29	0.30	9722500.40	0.00	24.11	998.01	36.91	79.00	0.02	1.38	25.00	->	0.12	1.10	2.07	1.97	1.48	0.34	1.40	0.48	0.31	0.19	0.05	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:00:30	10.00	0.34	0.34	0.36	0.36	0.36	391.00	905.00	4.09	9.15	0.25	0.07	0.02	0.20	0.20	0.23	0.28	0.29	9152451.50	0.00	24.11	997.97	36.89	79.00	0.02	1.38	25.00	->	0.17	1.42	1.55	1.95	1.35	0.78	1.06	0.10	0.29	0.02	0.17	0.00	0.00	0.00	0.00	0.06	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:00:40	10.00	0.29	0.29	0.31	0.31	0.31	391.00	903.00	4.08	7.66	0.25	0.07	0.02	0.20	0.20	0.24	0.28	0.30	7663990.30	0.00	24.11	997.93	36.93	79.00	0.02	1.38	25.00	->	0.38	1.20	1.06	1.12	1.24	0.90	0.98	0.16	0.13	0.00	0.24	0.02	0.00	0.10	0.00	0.07	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:00:50	10.00	0.26	0.26	0.27	0.27	0.27	390.70	914.60	4.13	7.28	0.25	0.07	0.02	0.20	0.20	0.24	0.29	0.32	7283957.75	0.00	24.11	998.00	36.89	79.00	0.02	1.38	25.00	->	0.32	1.16	1.18	1.10	1.14	0.71	0.71	0.15	0.20	0.04	0.25	0.16	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:01:00	10.00	0.33	0.33	0.34	0.34	0.34	390.10	909.60	4.11	8.91	0.25	0.07	0.02	0.20	0.21	0.24	0.29	0.32	8914930.65	0.00	24.11	998.01	36.92	79.00	0.02	1.38	25.00	->	0.02	1.12	1.45	1.71	1.53	0.90	0.76	0.52	0.24	0.36	0.16	0.10	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:01:10	10.00	0.37	0.37	0.38	0.38	0.38	391.00	908.20	4.10	9.69	0.25	0.07	0.02	0.20	0.21	0.24	0.30	0.31	9690830.60	0.00	24.11	998.10	36.88	79.00	0.02	1.38	25.00	->	0.13	1.11	1.29	1.58	1.92	1.23	0.84	0.90	0.21	0.27	0.00	0.00	0.00	0.16	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:01:20	10.00	0.29	0.29	0.30	0.30	0.30	390.30	906.50	4.09	8.41	0.25	0.06	0.02	0.20	0.20	0.24	0.28	0.30	8408221.05	0.00	24.11	998.10	36.86	79.00	0.02	1.38	25.00	->	0.19	1.52	1.04	1.17	1.59	1.39	0.64	0.46	0.16	0.00	0.00	0.00	0.00	0.08	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05.02.2024 00:01:30	10.00	0.26	0.26	0.27	0.27	0.27	390.00	906.00	4.09	8.15	0.24	0.06	0.02	0.20	0.20	0.24	0.28	0.29	8154865.85	0.00	24.11	998.10	36.84	79.00	0.02	1.38	25.00	->	0.16	1.41	0.90	1.64	1.41	1.28	1.00	0.19	0.13	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
