timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-02-09T00:00:01,66.88,944.54,22.78,1669.45,63.83,33.11,5537.64,4922.80,0.81,0.68,0.4437,999.8248,27.0000,77.90,21.04,981.96,35.61,19.27
2024-02-09T00:00:06,66.84,944.53,22.78,1669.40,30.65,15.90,5613.27,4990.09,0.86,0.72,0.4437,999.9030,27.0000,77.87,21.04,981.95,11.31,6.12
2024-02-09T00:00:11,66.86,945.04,22.77,1670.30,43.80,22.72,5586.23,4966.06,0.82,0.69,0.4440,1000.4969,27.0000,77.86,21.04,981.95,45.16,24.44
2024-02-09T00:00:16,66.84,944.93,22.78,1670.10,43.80,22.72,5594.27,4973.27,0.78,0.65,0.4442,1000.8400,27.0000,77.85,21.05,981.97,36.47,19.74
2024-02-09T00:00:21,66.86,944.67,22.78,1669.60,50.06,25.97,5610.41,4987.69,0.65,0.55,0.4443,1001.1601,27.0000,77.84,21.05,981.95,36.47,19.74
2024-02-09T00:00:26,66.85,943.75,22.78,1667.98,37.55,19.48,5575.27,4956.44,0.67,0.56,0.4442,1000.9897,27.0000,77.83,21.05,981.96,11.31,6.12
2024-02-09T00:00:31,66.80,944.87,22.77,1669.94,17.50,9.08,5621.13,4997.31,0.78,0.65,0.4442,1000.9097,27.0000,77.81,21.05,981.94,3.51,1.90
2024-02-09T00:00:36,66.81,944.70,22.75,1669.57,30.65,15.90,5588.47,4968.46,0.78,0.65,0.4440,1000.4048,27.0000,77.81,21.06,981.94,36.47,19.74
2024-02-09T00:00:41,66.83,944.15,22.78,1668.65,18.76,9.73,5607.60,4985.29,0.77,0.65,0.4438,1000.0735,27.0000,77.82,21.05,981.94,11.31,6.12
2024-02-09T00:00:46,66.86,944.30,22.78,1668.87,37.55,19.48,5577.73,4958.85,0.72,0.60,0.4442,1000.9225,27.0000,77.80,21.06,981.95,19.99,10.82
2024-02-09T00:00:51,66.83,944.21,22.78,1668.78,50.06,25.97,5623.88,4999.71,0.72,0.60,0.4442,1000.8252,27.0000,77.77,21.06,981.98,28.68,15.52
2024-02-09T00:00:56,66.82,943.50,22.75,1667.42,23.77,12.33,5580.30,4961.25,0.71,0.59,0.4441,1000.6217,27.0000,77.74,21.07,981.96,28.67,15.52
2024-02-09T00:01:01,66.80,943.28,22.77,1667.03,23.77,12.33,5642.47,5016.53,0.68,0.56,0.4440,1000.3055,27.0000,77.72,21.07,981.96,12.18,6.59
2024-02-09T00:01:06,66.80,942.93,22.78,1666.49,24.40,12.66,5577.86,4958.85,0.64,0.54,0.4436,999.6399,27.0000,77.69,21.06,981.97,28.68,15.52
2024-02-09T00:01:11,66.80,943.38,22.77,1667.24,24.40,12.66,5596.57,4975.67,0.68,0.57,0.4433,998.7326,27.0000,77.66,21.07,981.97,19.99,10.82
2024-02-09T00:01:16,66.80,942.93,22.77,1666.41,50.06,25.97,5547.80,4932.41,0.69,0.58,0.4435,999.3751,27.0000,77.64,21.07,981.95,3.51,1.90
2024-02-09T00:01:21,66.78,942.80,22.78,1666.19,50.06,25.97,5574.90,4956.44,0.61,0.51,0.4441,1000.5531,27.0000,77.61,21.07,981.96,19.99,10.82
2024-02-09T00:01:26,66.76,942.84,22.78,1666.29,43.79,22.72,5599.32,4978.08,0.69,0.58,0.4441,1000.6153,27.0000,77.62,21.07,981.97,36.47,19.74
