timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-02-12T10:28:55,47.93,830.70,23.60,1470.22,56.40,29.22,3.47,1.87,1.2176,2747.3361,23.0000,52.66,22.68,988.77,-139.86,-75.59
2024-02-12T10:29:00,47.81,830.68,23.63,1470.11,82.09,42.53,2.04,1.22,1.0505,2370.3995,23.0000,52.61,22.69,988.76,-132.03,-71.36
2024-02-12T10:29:05,47.76,829.91,23.67,1468.76,75.82,39.28,1.78,1.13,0.8712,1965.8199,23.0000,52.57,22.69,988.77,-125.09,-67.61
2024-02-12T10:29:10,47.63,830.54,23.69,1469.76,88.36,45.78,1.39,0.95,0.7520,1696.7171,23.0000,52.55,22.70,988.72,-132.89,-71.83
2024-02-12T10:29:15,47.57,831.90,23.71,1472.14,87.72,45.45,1.27,0.92,0.6799,1534.0394,23.0000,52.51,22.71,988.74,-133.76,-72.30
2024-02-12T10:29:20,47.53,832.46,23.74,1473.14,80.83,41.88,1.27,0.92,0.6325,1427.0044,23.0000,52.50,22.72,988.78,-142.45,-77.00
2024-02-12T10:29:25,47.41,834.14,23.80,1475.99,87.10,45.13,1.27,0.92,0.6013,1356.5659,24.0000,52.50,22.73,988.72,-142.44,-77.00
2024-02-12T10:29:30,47.41,833.33,23.80,1474.51,86.48,44.81,1.25,0.91,0.5709,1287.9746,24.0000,52.49,22.74,988.74,-109.42,-59.15
2024-02-12T10:29:35,47.37,832.95,23.83,1473.81,85.84,44.48,1.15,0.85,0.5454,1230.2898,24.0000,52.47,22.75,988.74,-92.92,-50.23
2024-02-12T10:29:40,47.28,833.49,23.85,1474.79,79.57,41.23,1.14,0.86,0.5240,1182.0541,24.0000,52.43,22.75,988.77,-109.42,-59.15
