timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-02-15T00:00:01,41.08,599.61,27.06,1068.87,0.2305,523.8724,31.0000,305.80,269.54,0.69,0.69,85.22,43.83,46.32,25.64,1005.87,50.80,27.26
2024-02-15T00:00:06,41.12,599.86,27.07,1069.32,0.2306,523.9818,31.0000,330.34,291.17,0.68,0.68,37.87,19.48,46.33,25.64,1005.87,44.67,23.97
2024-02-15T00:00:11,41.09,600.07,27.06,1069.70,0.2306,524.1165,31.0000,322.16,283.96,0.67,0.67,58.07,29.87,46.38,25.64,1005.87,35.91,19.27
2024-02-15T00:00:16,41.09,600.29,27.07,1070.09,0.2307,524.2317,31.0000,311.25,274.34,0.68,0.68,84.59,43.51,46.38,25.64,1005.89,18.41,9.88
2024-02-15T00:00:21,41.11,600.47,27.07,1070.44,0.2305,523.9642,31.0000,294.90,259.92,0.73,0.73,84.60,43.51,46.37,25.64,1005.90,43.80,23.50
2024-02-15T00:00:26,41.11,600.86,27.07,1071.11,0.2305,523.9259,31.0000,330.35,291.17,0.81,0.81,65.02,33.44,46.32,25.64,1005.89,10.53,5.65
2024-02-15T00:00:31,41.10,601.14,27.06,1071.63,0.2306,524.0492,31.0000,319.44,281.55,0.82,0.82,71.34,36.69,46.29,25.63,1005.86,43.80,23.50
2024-02-15T00:00:36,41.05,600.65,27.06,1070.78,0.2306,524.1639,31.0000,286.72,252.71,0.79,0.79,44.82,23.05,46.29,25.64,1005.92,18.41,9.88
2024-02-15T00:00:41,41.10,601.55,27.06,1072.35,0.2306,524.1775,31.0000,324.89,286.36,0.76,0.76,71.34,36.69,46.26,25.64,1005.89,35.04,18.80
2024-02-15T00:00:46,41.01,601.66,27.06,1072.57,0.2306,524.1173,31.0000,313.99,276.75,0.82,0.82,65.02,33.44,46.25,25.64,1005.91,35.04,18.80
