timestamp(UTC),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_O3-O3_ug,NetADC_O3-O3(ppb)
2024-02-14T00:00:02,36.67,19.56,23.56,1164.78,26.31,2088.67,8182.99,7170.06,1.40,1.19,0.5887,1345.9126,30.0000,26.45,24.40,1007.64,51.07,26.11
2024-02-14T00:00:07,53.66,28.62,23.90,1164.20,26.30,2087.83,8349.49,7315.30,1.40,1.20,0.5861,1340.1105,30.0000,26.83,24.38,1007.66,16.49,8.43
2024-02-14T00:00:12,16.99,9.06,24.16,1164.67,26.30,2088.85,8268.78,7243.91,1.44,1.23,0.5836,1334.4708,30.0000,27.05,24.36,1007.69,24.18,12.36
2024-02-14T00:00:17,8.94,4.77,24.25,1163.92,26.21,2087.67,8235.65,7214.37,1.38,1.17,0.5830,1333.2097,30.0000,26.90,24.33,1007.66,4.97,2.54
2024-02-14T00:00:22,0.00,0.00,24.12,1164.12,26.19,2088.27,8256.30,7231.60,1.31,1.12,0.5823,1331.6628,30.0000,26.79,24.30,1007.68,24.18,12.36
2024-02-14T00:00:27,-16.99,-9.06,23.86,1164.06,26.14,2088.37,8254.34,7229.14,1.26,1.07,0.5807,1328.3274,30.0000,26.65,24.28,1007.71,11.37,5.81
2024-02-14T00:00:32,-35.79,-19.08,23.70,1162.91,26.14,2086.36,8223.64,7202.06,1.21,1.03,0.5815,1330.0055,30.0000,26.23,24.27,1007.71,-8.49,-4.34
2024-02-14T00:00:37,-9.85,-5.25,23.33,1162.78,26.10,2086.43,8264.10,7236.52,1.09,0.93,0.5820,1331.5085,30.0000,25.68,24.23,1007.71,-20.67,-10.56
2024-02-14T00:00:42,-17.90,-9.54,22.93,1162.09,26.08,2085.24,8239.00,7214.37,1.19,1.01,0.5838,1335.5032,30.0000,25.05,24.22,1007.70,-47.56,-24.30
2024-02-14T00:00:47,-26.85,-14.31,22.57,1161.59,26.06,2084.59,8220.33,7197.14,1.26,1.07,0.5865,1341.8335,30.0000,24.52,24.19,1007.72,-20.67,-10.56
2024-02-14T00:00:52,7.17,3.82,21.80,1162.36,26.03,2086.15,8235.07,7209.44,1.50,1.27,0.5882,1345.8470,30.0000,24.14,24.17,1007.73,-27.07,-13.83
2024-02-14T00:00:57,8.05,4.29,21.51,1161.72,26.00,2085.16,8207.59,7184.83,1.61,1.36,0.5904,1350.9646,30.0000,23.93,24.14,1007.71,-7.85,-4.01
2024-02-14T00:01:02,42.96,22.89,21.48,1161.23,25.97,2084.51,8191.60,7170.06,1.74,1.47,0.5942,1359.8512,30.0000,23.97,24.12,1007.75,12.02,6.14
2024-02-14T00:01:07,0.00,0.00,21.69,1161.95,25.93,2085.94,8192.19,7170.06,1.77,1.50,0.5959,1363.9601,30.0000,24.14,24.10,1007.76,-2.08,-1.06
2024-02-14T00:01:12,26.86,14.31,21.86,1161.92,25.90,2086.08,8178.86,7157.75,1.66,1.39,0.5951,1362.1614,30.0000,24.61,24.07,1007.74,-1.45,-0.74
2024-02-14T00:01:17,26.86,14.31,22.17,1161.39,25.90,2085.19,8193.16,7170.06,1.49,1.25,0.5950,1361.9149,30.0000,25.17,24.06,1007.74,30.61,15.63
2024-02-14T00:01:22,35.82,19.08,22.61,1161.40,25.85,2085.29,8145.70,7128.21,1.50,1.26,0.5921,1355.5076,30.0000,25.74,24.04,1007.72,31.25,15.96
2024-02-14T00:01:27,70.73,37.68,23.27,1160.39,25.86,2083.61,8174.33,7152.82,1.43,1.20,0.5885,1347.2335,30.0000,26.32,24.02,1007.71,23.56,12.03
