timestamp(UTC),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetBME280-HPA(hPa),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB_ug,NetPid_P1-PPB(ppm),NetPid_P1-TEMP(°C),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_NO2-NO2(ppb),NetADC_NO2-NO2_ug,NetCO2-HUM(%),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetCO2-CO2(ppm)
2024-02-05T00:10:00,50.42,44.40,999.45,42.60,23.47,0.27,0.27,367.6571,0.1616,28.8500,64.78,33.29,26.02,48.53,37.40,24.80,912.72,511.56
2024-02-05T00:20:00,33.10,29.16,999.49,42.47,23.55,0.20,0.20,367.3321,0.1615,28.9333,74.36,38.22,29.99,55.93,37.37,24.82,909.33,509.77
2024-02-05T00:30:00,30.26,26.65,999.52,42.47,23.55,0.24,0.24,367.1151,0.1614,28.9500,77.90,40.04,32.78,61.12,37.33,24.84,918.07,514.65
2024-02-05T00:40:00,30.31,26.69,999.45,42.52,23.51,0.24,0.24,366.6017,0.1612,28.9583,77.97,40.07,31.38,58.53,37.34,24.84,922.39,517.05
2024-02-05T00:50:00,25.51,22.47,999.42,42.57,23.49,0.21,0.21,366.3498,0.1611,28.9167,78.93,40.57,32.69,60.97,37.36,24.83,906.84,508.31
2024-02-05T01:00:00,23.04,20.29,999.43,42.59,23.48,0.21,0.21,365.9524,0.1609,28.9250,78.32,40.25,32.95,61.45,37.37,24.82,905.29,507.42
2024-02-05T01:10:00,21.95,19.33,999.47,42.59,23.48,0.20,0.20,365.2228,0.1606,28.9083,77.35,39.75,33.40,62.30,37.38,24.81,911.93,511.11
2024-02-05T01:20:00,20.65,18.18,999.52,42.60,23.46,0.25,0.25,364.2561,0.1601,28.9000,78.08,40.12,31.96,59.61,37.38,24.80,919.39,515.25
2024-02-05T01:30:00,20.14,17.73,999.55,42.62,23.45,0.21,0.21,363.3028,0.1597,28.9417,79.55,40.87,31.42,58.62,37.38,24.81,921.44,516.37
2024-02-05T01:40:00,19.04,16.77,999.58,42.62,23.45,0.22,0.22,362.8089,0.1595,28.9000,79.29,40.74,31.59,58.93,37.38,24.80,918.38,514.63
2024-02-05T01:50:00,15.55,13.69,999.53,42.62,23.45,0.21,0.21,362.0888,0.1592,28.9083,78.68,40.43,32.02,59.73,37.38,24.80,914.76,512.63
2024-02-05T02:00:00,16.94,14.92,999.51,42.62,23.45,0.23,0.23,361.5076,0.1589,28.9417,79.68,40.94,32.55,60.71,37.38,24.80,904.83,507.07
2024-02-05T02:10:00,13.33,11.74,999.46,42.61,23.46,0.19,0.19,361.0371,0.1587,28.9083,79.79,41.00,32.93,61.43,37.39,24.80,904.77,507.08
2024-02-05T02:20:00,15.85,13.95,999.53,42.62,23.45,0.23,0.23,360.8678,0.1586,28.8750,78.49,40.33,32.62,60.85,37.39,24.80,909.79,509.84
2024-02-05T02:30:00,14.17,12.48,999.56,42.63,23.45,0.23,0.23,360.0967,0.1583,28.8750,79.62,40.91,32.10,59.88,37.40,24.80,905.93,507.66
