timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetPid_P3-PPB(ppm),NetPid_P3-PPB_ug,NetPid_P3-TEMP(°C),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-02-09T00:00:02,60.91,815.48,24.23,1437.72,5686.06,5067.45,5.79,3.01,0.5,1082.7,29.0,0.62,0.56,0.3918,880.6908,30.0000,75.49,21.95,982.53,30.32,16.45
2024-02-09T00:00:07,60.89,815.97,24.26,1438.53,5646.91,5032.77,5.10,2.65,0.5,1079.4,29.0,0.60,0.54,0.3917,880.4879,30.0000,75.45,21.95,982.49,14.86,8.06
2024-02-09T00:00:13,60.89,816.53,24.25,1439.48,5667.56,5051.27,12.71,6.61,0.5,1090.5,29.0,0.55,0.50,0.3917,880.4103,30.0000,75.46,21.96,982.50,-1.46,-0.79
2024-02-09T00:00:18,60.91,817.02,24.23,1440.42,5665.25,5048.95,-16.38,-8.52,0.5,1079.4,29.0,0.53,0.48,0.3916,880.2622,30.0000,75.46,21.95,982.52,6.27,3.40
2024-02-09T00:00:23,60.93,816.64,24.26,1439.71,5636.57,5023.52,5.10,2.65,0.5,1084.5,29.0,0.53,0.48,0.3915,879.8802,30.0000,75.45,21.96,982.53,14.86,8.06
2024-02-09T00:00:29,60.86,817.33,24.28,1440.90,5685.76,5067.45,12.02,6.25,0.5,1082.4,29.0,0.49,0.44,0.3914,879.7662,30.0000,75.44,21.96,982.51,-10.04,-5.45
2024-02-09T00:00:34,60.85,817.47,24.26,1441.13,5638.96,5025.83,5.10,2.65,0.5,1080.5,29.0,0.45,0.41,0.3916,880.1076,30.0000,75.44,21.96,982.49,-1.46,-0.79
2024-02-09T00:00:39,60.86,817.08,24.26,1440.47,5662.43,5046.64,-1.85,-0.96,0.5,1082.2,29.0,0.45,0.40,0.3916,880.0740,30.0000,75.43,21.96,982.51,6.27,3.40
2024-02-09T00:00:45,60.88,816.74,24.25,1439.79,5651.75,5037.39,-2.54,-1.32,0.5,1077.8,29.0,0.56,0.51,0.3916,880.0546,30.0000,75.41,21.96,982.46,-1.46,-0.79
2024-02-09T00:00:50,60.85,817.06,24.25,1440.43,5680.62,5062.83,-16.38,-8.52,0.5,1079.1,29.0,0.62,0.56,0.3915,879.8872,30.0000,75.39,21.96,982.52,-1.46,-0.79
2024-02-09T00:00:55,60.85,816.85,24.26,1440.06,5613.09,5002.70,-2.54,-1.32,0.5,1090.2,29.0,0.68,0.61,0.3913,879.5922,30.0000,75.37,21.97,982.54,-17.79,-9.65
2024-02-09T00:01:01,60.78,816.98,24.28,1440.24,5662.22,5046.64,-1.85,-0.96,0.5,1082.6,29.0,0.62,0.56,0.3915,879.8506,30.0000,75.33,21.97,982.51,-17.78,-9.65
2024-02-09T00:01:06,60.77,817.44,24.26,1441.07,5657.17,5042.02,12.02,6.25,0.5,1080.0,29.0,0.61,0.55,0.3913,879.4717,30.0000,75.33,21.97,982.54,-17.79,-9.65
2024-02-09T00:01:11,60.80,817.74,24.23,1441.54,5659.46,5044.33,12.02,6.25,0.5,1081.8,29.0,0.58,0.53,0.3913,879.5553,30.0000,75.30,21.98,982.52,-1.46,-0.79
2024-02-09T00:01:17,60.78,818.19,24.25,1442.37,5651.83,5037.39,5.10,2.65,0.5,1082.5,29.0,0.53,0.48,0.3912,879.2396,30.0000,75.27,21.97,982.51,14.85,8.06
2024-02-09T00:01:22,60.76,818.66,24.25,1443.13,5641.18,5028.14,-2.54,-1.32,0.5,1083.3,29.0,0.61,0.55,0.3912,879.1552,30.0000,75.25,21.98,982.50,6.27,3.40
2024-02-09T00:01:27,60.77,819.02,24.25,1443.75,5615.21,5005.02,12.02,6.25,0.5,1081.8,29.0,0.64,0.58,0.3911,879.0197,30.0000,75.25,21.99,982.52,-17.78,-9.65
