timestamp(UTC),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPid_P3-PPB(ppm),NetPid_P3-PPB_ug,NetPid_P3-TEMP(°C),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_O3-O3_ug,NetADC_O3-O3(ppb)
2024-02-13T00:00:01,55.94,29.50,54.89,1302.88,20.71,2363.11,1.56,1.32,5913.74,5122.95,0.5,1125.4,26.0,0.3515,812.8412,27.0000,68.25,18.64,999.46,72.92,36.86
2024-02-13T00:00:06,63.89,33.69,54.75,1303.74,20.73,2364.79,1.67,1.42,5964.75,5166.89,0.5,1124.5,26.0,0.3515,812.8993,27.0000,68.10,18.63,999.47,102.14,51.63
2024-02-13T00:00:11,65.67,34.63,54.81,1303.67,20.71,2364.62,1.68,1.42,5937.95,5143.77,0.5,1126.4,25.0,0.3512,812.2455,27.0000,68.35,18.63,999.45,71.49,36.14
2024-02-13T00:00:17,65.67,34.63,54.96,1303.53,20.73,2364.35,1.57,1.33,5889.87,5102.14,0.5,1129.9,26.0,0.3515,812.7345,27.0000,68.29,18.63,999.45,71.49,36.14
2024-02-13T00:00:22,56.81,29.96,54.79,1303.22,20.73,2363.89,1.46,1.23,5930.14,5136.83,0.5,1127.7,25.0,0.3516,813.0060,27.0000,68.08,18.63,999.49,57.25,28.94
2024-02-13T00:00:27,23.25,12.26,54.54,1303.42,20.73,2364.23,1.52,1.29,5940.78,5146.08,0.5,1128.4,25.0,0.3516,813.1507,27.0000,67.87,18.63,999.48,57.25,28.94
2024-02-13T00:00:33,73.61,38.82,54.47,1303.10,20.74,2363.66,1.55,1.31,5906.10,5116.02,0.5,1124.2,26.0,0.3514,812.6455,27.0000,67.82,18.63,999.48,50.13,25.34
2024-02-13T00:00:38,91.29,48.14,54.53,1303.13,20.73,2363.69,1.53,1.29,5900.69,5111.39,0.5,1126.7,26.0,0.3513,812.3909,27.0000,68.07,18.63,999.47,71.50,36.14
2024-02-13T00:00:43,65.67,34.63,54.72,1302.49,20.74,2362.55,1.46,1.24,5898.11,5109.08,0.5,1124.6,25.0,0.3514,812.6065,27.0000,68.24,18.63,999.49,71.50,36.14
2024-02-13T00:00:49,65.67,34.63,54.84,1302.64,20.76,2362.74,1.45,1.24,5913.90,5122.95,0.5,1125.1,25.0,0.3514,812.7127,27.0000,68.21,18.64,999.49,64.37,32.54
2024-02-13T00:00:54,65.67,34.63,54.82,1302.68,20.74,2362.88,1.46,1.24,5938.11,5143.77,0.5,1126.9,26.0,0.3514,812.6532,27.0000,68.21,18.63,999.48,78.62,39.74
2024-02-13T00:00:59,74.51,39.29,54.87,1302.66,20.71,2362.83,1.51,1.29,5930.08,5136.83,0.5,1126.1,26.0,0.3515,812.8472,27.0000,68.30,18.62,999.44,78.62,39.74
2024-02-13T00:01:05,32.09,16.92,54.95,1302.31,20.76,2362.21,1.61,1.37,5927.43,5134.52,0.5,1126.5,26.0,0.3514,812.5938,27.0000,68.35,18.63,999.48,64.37,32.54
2024-02-13T00:01:10,40.92,21.58,54.86,1302.37,20.74,2362.22,1.77,1.52,5908.48,5118.33,0.5,1126.9,26.0,0.3516,812.9670,27.0000,68.16,18.64,999.47,57.25,28.94
2024-02-13T00:01:15,65.67,34.63,54.68,1302.12,20.73,2361.81,1.67,1.43,5911.26,5120.64,0.5,1125.8,25.0,0.3517,813.2997,27.0000,68.06,18.64,999.49,49.42,24.98
2024-02-13T00:01:21,48.87,25.77,54.46,1301.71,20.73,2361.01,1.63,1.40,5919.13,5127.58,0.5,1127.3,25.0,0.3518,813.5511,27.0000,67.77,18.64,999.47,35.15,17.77
2024-02-13T00:01:26,56.81,29.96,54.50,1301.92,20.73,2361.45,1.65,1.41,5932.62,5139.14,0.5,1124.3,25.0,0.3515,812.9556,27.0000,67.90,18.64,999.49,42.28,21.37
2024-02-13T00:01:31,74.50,39.29,54.58,1301.75,20.77,2361.05,1.50,1.29,5913.68,5122.95,0.5,1125.2,26.0,0.3513,812.3751,27.0000,68.04,18.64,999.45,64.37,32.54
2024-02-13T00:01:37,74.50,39.29,54.88,1301.41,20.77,2360.43,1.31,1.12,5895.01,5106.77,0.5,1127.2,26.0,0.3512,812.1558,27.0000,68.28,18.64,999.45,100.71,50.91
2024-02-13T00:01:42,65.67,34.63,54.86,1301.47,20.74,2360.56,1.07,0.92,5937.79,5143.77,0.5,1128.1,25.0,0.3514,812.5756,27.0000,68.32,18.64,999.46,63.66,32.18
2024-02-13T00:01:48,56.81,29.96,54.82,1301.45,20.74,2360.41,0.92,0.78,5985.53,5185.39,0.5,1126.9,26.0,0.3515,812.8582,27.0000,68.22,18.64,999.41,49.41,24.98
2024-02-13T00:01:53,57.70,30.43,54.90,1301.60,20.74,2360.84,1.11,0.95,5921.85,5129.89,0.5,1132.9,25.0,0.3515,812.8572,27.0000,68.39,18.64,999.48,49.42,24.98
2024-02-13T00:01:58,82.45,43.48,55.02,1300.57,20.74,2359.01,1.31,1.12,5903.28,5113.70,0.5,1125.9,26.0,0.3513,812.3580,27.0000,68.49,18.64,999.50,71.49,36.14
2024-02-13T00:02:03,74.50,39.29,55.21,1299.93,20.77,2357.85,1.36,1.17,5911.27,5120.64,0.5,1125.4,26.0,0.3513,812.4126,27.0000,68.78,18.64,999.49,85.76,43.35
2024-02-13T00:02:09,74.50,39.29,55.18,1299.35,20.73,2356.82,1.46,1.25,5919.33,5127.58,0.5,1125.9,25.0,0.3516,813.1507,27.0000,68.60,18.64,999.50,33.73,17.05
2024-02-13T00:02:14,48.87,25.77,55.21,1299.36,20.74,2356.82,1.57,1.35,5932.65,5139.14,0.5,1127.3,26.0,0.3516,813.1099,27.0000,68.60,18.64,999.50,56.54,28.58
2024-02-13T00:02:20,48.87,25.77,55.25,1298.82,20.74,2355.83,1.51,1.29,5913.93,5122.95,0.5,1124.8,26.0,0.3517,813.2167,27.0000,68.64,18.63,999.46,71.49,36.14
2024-02-13T00:02:25,48.87,25.77,55.32,1298.07,20.73,2354.44,1.43,1.23,5964.60,5166.89,0.5,1123.0,26.0,0.3515,812.7770,27.0000,68.83,18.64,999.48,71.49,36.14
