timestamp(UTC),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb),NetPid_P3-PPB(ppm),NetPid_P3-PPB_ug,NetPid_P3-TEMP(°C),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_O3-O3_ug,NetADC_O3-O3(ppb)
2024-02-15T00:00:03,0.72,0.72,38.66,512.02,28.37,910.58,191.94,169.58,38.37,20.64,0.4,881.8,33.0,0.2326,527.4928,34.0000,47.15,26.50,1006.38,43.56,22.46
2024-02-15T00:00:08,0.70,0.70,38.50,511.76,28.38,910.10,220.73,195.02,53.97,29.03,0.4,883.3,33.0,0.2325,527.0647,34.0000,47.14,26.51,1006.40,26.79,13.81
2024-02-15T00:00:13,0.70,0.70,38.44,511.58,28.35,909.83,210.27,185.77,62.64,33.69,0.4,882.7,33.0,0.2325,527.0858,34.0000,47.20,26.50,1006.41,42.85,22.09
2024-02-15T00:00:19,0.69,0.69,38.56,511.75,28.38,910.12,225.97,199.64,62.64,33.69,0.4,882.1,33.0,0.2324,527.0323,34.0000,47.29,26.49,1006.38,42.15,21.73
2024-02-15T00:00:24,0.68,0.68,38.45,512.28,28.38,911.06,191.94,169.58,37.52,20.18,0.4,883.8,33.0,0.2326,527.4019,34.0000,47.11,26.50,1006.40,58.23,30.02
2024-02-15T00:00:29,0.67,0.67,38.32,512.06,28.34,910.64,202.41,178.83,62.64,33.69,0.4,882.9,33.0,0.2326,527.4408,34.0000,47.01,26.50,1006.38,42.15,21.73
2024-02-15T00:00:35,0.61,0.61,38.36,511.95,28.37,910.47,197.17,174.20,46.18,24.84,0.4,881.9,33.0,0.2326,527.3440,34.0000,47.01,26.50,1006.41,28.18,14.53
2024-02-15T00:00:40,0.59,0.59,38.32,511.69,28.35,910.00,207.64,183.45,46.18,24.84,0.4,884.2,33.0,0.2326,527.3568,34.0000,47.05,26.50,1006.39,35.17,18.13
2024-02-15T00:00:45,0.52,0.52,38.37,511.75,28.37,910.11,199.80,176.52,46.18,24.84,0.4,884.1,33.0,0.2326,527.4627,34.0000,47.09,26.51,1006.42,42.85,22.09
2024-02-15T00:00:51,0.44,0.44,38.54,511.61,28.37,909.89,194.56,171.89,37.52,20.18,0.4,882.3,33.0,0.2334,529.1521,34.0000,47.16,26.51,1006.45,42.15,21.73
2024-02-15T00:00:56,0.37,0.37,38.66,511.33,28.39,909.39,210.27,185.77,46.18,24.84,0.4,881.3,33.0,0.2327,527.6920,34.0000,47.23,26.50,1006.42,42.85,22.09
2024-02-15T00:01:01,0.38,0.38,38.80,511.29,28.35,909.33,205.04,181.14,29.71,15.98,0.4,882.1,33.0,0.2329,528.0168,34.0000,47.28,26.50,1006.45,35.17,18.13
2024-02-15T00:01:07,0.47,0.47,38.71,511.48,28.38,909.66,199.80,176.52,46.18,24.84,0.4,882.4,33.0,0.2327,527.6785,34.0000,47.30,26.50,1006.42,42.85,22.09
2024-02-15T00:01:12,0.47,0.47,38.74,511.65,28.37,909.95,207.65,183.45,37.52,20.18,0.4,879.0,33.0,0.2326,527.3179,34.0000,47.40,26.51,1006.45,71.50,36.86
2024-02-15T00:01:17,0.45,0.45,38.75,511.03,28.35,908.81,241.67,213.52,21.05,11.32,0.4,880.3,33.0,0.2326,527.2788,34.0000,47.36,26.51,1006.42,42.15,21.73
2024-02-15T00:01:23,0.46,0.46,38.70,510.58,28.37,908.01,202.41,178.83,47.04,25.30,0.4,881.3,33.0,0.2326,527.2765,34.0000,47.29,26.51,1006.41,42.15,21.73
2024-02-15T00:01:28,0.52,0.52,38.82,510.37,28.38,907.71,197.18,174.20,29.71,15.98,0.4,880.0,33.0,0.2325,527.1604,34.0000,47.37,26.49,1006.42,49.85,25.70
2024-02-15T00:01:33,0.57,0.57,38.75,509.62,28.37,906.34,223.36,197.33,37.52,20.18,0.4,879.8,33.0,0.2325,527.2295,34.0000,47.37,26.50,1006.41,35.17,18.13
2024-02-15T00:01:39,0.60,0.60,38.70,509.72,28.38,906.52,210.27,185.77,46.18,24.84,0.4,881.8,33.0,0.2327,527.5686,34.0000,47.33,26.50,1006.42,35.17,18.13
2024-02-15T00:01:44,0.65,0.65,38.60,509.86,28.38,906.80,202.42,178.83,46.19,24.84,0.4,882.0,33.0,0.2327,527.6256,34.0000,47.36,26.49,1006.41,42.85,22.09
2024-02-15T00:01:49,0.66,0.66,38.54,509.78,28.39,906.62,225.97,199.64,37.52,20.18,0.4,881.6,33.0,0.2326,527.4907,34.0000,47.33,26.50,1006.42,49.85,25.70
2024-02-15T00:01:55,0.61,0.61,38.50,509.92,28.37,906.90,189.34,167.27,4.59,2.47,0.4,881.6,33.0,0.2326,527.4837,34.0000,47.29,26.49,1006.41,42.85,22.09
2024-02-15T00:02:00,0.59,0.59,38.71,510.29,28.38,907.53,207.65,183.45,62.64,33.69,0.4,883.2,33.0,0.2327,527.7107,34.0000,47.40,26.50,1006.42,35.17,18.13
2024-02-15T00:02:05,0.58,0.58,38.87,510.47,28.38,907.89,205.04,181.14,55.71,29.96,0.4,886.5,33.0,0.2326,527.5028,34.0000,47.38,26.48,1006.40,42.85,22.09
2024-02-15T00:02:11,0.63,0.63,38.88,510.37,28.37,907.69,202.42,178.83,87.78,47.21,0.4,884.2,33.0,0.2327,527.6085,34.0000,47.54,26.50,1006.43,49.85,25.70
2024-02-15T00:02:16,0.64,0.64,39.08,509.95,28.37,906.91,215.50,190.39,54.85,29.50,0.4,882.7,33.0,0.2326,527.4881,34.0000,47.60,26.50,1006.41,42.15,21.73
