timestamp(UTC),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPid_P3-PPB_ug,NetPid_P3-PPB(ppm),NetPid_P3-TEMP(°C),NetBME280-HPA(hPa),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB_ug,NetPid_P1-PPB(ppm),NetPid_P1-TEMP(°C),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_NO2-NO2(ppb),NetADC_NO2-NO2_ug,NetCO2-HUM(%),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetCO2-CO2(ppm)
2024-02-05T00:10:00,72.73,64.24,783.1,0.3,31.0,998.94,44.08,24.19,0.22,0.22,464.5227,0.2048,32.0000,63.60,32.78,27.45,51.05,35.32,25.85,674.58,379.20
2024-02-05T00:20:00,72.24,63.80,781.8,0.3,31.0,998.99,44.08,24.19,0.23,0.23,464.1983,0.2047,32.0000,64.57,33.28,27.71,51.53,35.33,25.86,667.66,375.29
2024-02-05T00:30:00,69.55,61.43,781.8,0.3,31.0,999.01,44.07,24.19,0.22,0.22,463.8964,0.2045,32.0000,63.51,32.73,27.89,51.88,35.33,25.86,666.71,374.75
2024-02-05T00:40:00,70.23,62.03,781.0,0.3,31.0,998.93,44.07,24.19,0.24,0.24,463.5280,0.2044,32.0000,64.98,33.49,27.95,51.98,35.33,25.85,669.36,376.27
2024-02-05T00:50:00,68.94,60.89,780.9,0.3,31.0,998.92,44.10,24.18,0.18,0.18,463.2175,0.2042,32.0000,64.11,33.04,27.87,51.83,35.34,25.85,667.51,375.22
2024-02-05T01:00:00,68.73,60.71,780.4,0.3,31.0,998.94,44.10,24.18,0.20,0.20,462.7846,0.2040,32.0000,64.46,33.22,27.05,50.31,35.35,25.84,665.04,373.82
2024-02-05T01:10:00,65.95,58.25,780.9,0.3,31.0,998.96,44.08,24.19,0.20,0.20,461.9413,0.2037,32.0000,64.97,33.49,26.72,49.70,35.34,25.84,662.54,372.42
2024-02-05T01:20:00,65.28,57.65,781.8,0.3,31.0,998.99,44.07,24.19,0.20,0.20,461.0502,0.2033,32.0000,65.38,33.69,28.20,52.45,35.33,25.85,665.08,373.83
2024-02-05T01:30:00,64.43,56.91,780.7,0.3,31.0,999.03,44.04,24.20,0.20,0.20,459.9504,0.2028,32.0000,64.50,33.24,26.62,49.51,35.32,25.85,663.92,373.19
2024-02-05T01:40:00,63.08,55.71,780.1,0.3,31.0,999.06,44.05,24.20,0.19,0.19,459.3178,0.2025,32.0000,64.84,33.41,27.53,51.21,35.31,25.85,665.18,373.88
2024-02-05T01:50:00,59.03,52.14,779.8,0.3,31.0,999.01,44.06,24.19,0.20,0.20,458.7952,0.2023,32.0000,65.47,33.74,27.41,50.97,35.31,25.86,671.25,377.30
2024-02-05T02:00:00,60.79,53.68,779.2,0.3,31.0,999.00,44.07,24.18,0.22,0.22,458.2043,0.2020,32.0000,65.81,33.92,26.90,50.03,35.32,25.85,652.36,366.68
2024-02-05T02:10:00,61.25,54.10,778.7,0.3,31.0,998.94,44.08,24.18,0.20,0.20,457.7537,0.2018,32.0000,66.01,34.02,27.52,51.18,35.33,25.84,655.06,368.21
2024-02-05T02:20:00,55.81,49.29,778.7,0.3,31.0,999.01,44.10,24.17,0.17,0.17,457.5277,0.2017,32.0000,64.15,33.06,27.83,51.76,35.33,25.84,655.44,368.39
2024-02-05T02:30:00,55.63,49.12,778.1,0.3,31.0,999.04,44.10,24.17,0.20,0.20,456.8022,0.2014,32.0000,63.73,32.84,27.96,52.01,35.34,25.84,654.17,367.67
2024-02-05T02:40:00,54.10,47.78,777.3,0.3,31.0,999.00,44.11,24.17,0.15,0.15,456.4364,0.2012,32.0000,64.92,33.46,27.70,51.52,35.34,25.84,654.72,367.99
