timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-12-05T00:00:03,34.94,68.16,159.15,181.17,30.05,56.19,37.92,1488.95,22.88,2663.14,1.69,1.69,0.1538,350.7783,27.0000,44.70,21.43,995.02
2023-12-05T00:00:09,17.27,33.69,220.70,251.23,21.46,40.13,37.92,1488.94,22.85,2663.11,1.92,1.92,0.1537,350.5686,27.0000,44.71,21.43,995.02
2023-12-05T00:00:13,45.09,87.96,191.16,217.61,20.99,39.25,37.91,1489.17,22.88,2663.58,2.05,2.05,0.1539,350.8657,27.0000,44.71,21.43,995.04
2023-12-05T00:00:18,34.62,67.54,205.93,234.42,30.53,57.09,37.96,1489.25,22.87,2663.70,2.01,2.01,0.1541,351.3607,27.0000,44.70,21.43,995.03
2023-12-05T00:00:23,41.16,80.29,198.54,226.00,30.53,57.09,37.96,1490.05,22.88,2665.02,1.80,1.80,0.1540,351.0824,27.0000,44.70,21.43,994.99
2023-12-05T00:00:28,34.29,66.89,198.54,226.01,20.99,39.25,37.92,1490.20,22.88,2665.37,1.77,1.77,0.1539,350.9482,27.0000,44.71,21.43,995.02
2023-12-05T00:00:33,31.02,60.51,198.54,226.01,26.23,49.05,37.93,1490.66,22.87,2666.20,1.69,1.69,0.1538,350.8034,27.0000,44.71,21.43,995.02
2023-12-05T00:00:38,34.29,66.89,208.39,237.23,34.82,65.11,37.91,1490.60,22.88,2666.20,1.80,1.80,0.1537,350.5284,27.0000,44.71,21.43,995.06
2023-12-05T00:00:43,27.42,53.49,215.77,245.63,25.76,48.17,37.92,1489.10,22.87,2663.46,1.87,1.87,0.1538,350.8349,27.0000,44.72,21.43,995.04
2023-12-05T00:00:48,41.16,80.30,193.62,220.41,21.46,40.13,37.91,1488.52,22.84,2662.44,1.84,1.84,0.1538,350.7992,27.0000,44.71,21.43,995.05
