timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P3-PPM,NetPid_P3-PPB_ug,NetPid_P3-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-12-01T14:18:48,62.07,121.88,15857.58,18170.35,94.74,178.32,45.96,1085.79,19.35,1954.83,0.6,1392.4,17.0,5.23,5.81,0.7060,1620.4675,18.0000,55.54,18.69,992.26
2023-12-01T14:18:53,54.15,106.32,15869.14,18182.66,84.02,158.13,45.82,1056.93,19.44,1902.78,0.7,1632.2,18.0,4.96,4.96,0.7714,1770.4877,18.0000,55.51,18.70,992.24
2023-12-01T14:18:58,54.15,106.32,15841.39,18149.70,50.47,94.98,45.69,1044.08,19.47,1879.52,0.7,1702.1,18.0,4.95,4.95,0.7373,1692.1491,18.0000,55.47,18.72,992.24
2023-12-01T14:19:04,50.19,98.54,15843.70,18151.79,61.19,115.15,45.52,1030.29,19.56,1854.63,0.8,1742.2,18.0,4.91,5.16,0.6626,1520.7841,18.0000,55.44,18.73,992.25
2023-12-01T14:19:09,53.79,105.60,15850.64,18159.13,58.39,109.88,45.38,1022.19,19.61,1840.01,0.8,1756.2,18.0,4.92,5.16,0.6037,1385.4705,18.0000,55.44,18.74,992.25
2023-12-01T14:19:14,53.79,105.60,15836.77,18143.37,42.08,79.19,45.23,1016.17,19.67,1829.18,0.8,1752.0,18.0,4.77,4.97,0.5585,1281.7953,19.0000,55.43,18.74,992.25
2023-12-01T14:19:20,46.23,90.76,15859.89,18168.74,47.67,89.70,45.14,1011.22,19.71,1820.15,0.8,1744.8,18.0,4.49,4.49,0.5202,1193.6780,19.0000,55.43,18.76,992.26
2023-12-01T14:19:25,49.83,97.82,15873.77,18184.01,48.61,91.47,45.05,1006.69,19.72,1811.94,0.7,1717.4,18.0,4.58,4.58,0.4931,1131.4917,19.0000,55.44,18.76,992.23
2023-12-01T14:19:31,49.47,97.11,15869.14,18178.29,40.68,76.55,44.95,1005.61,19.79,1809.96,0.7,1689.8,19.0,4.95,5.14,0.4705,1079.7020,19.0000,55.70,18.78,992.27
2023-12-01T14:19:36,63.88,125.40,15859.89,18167.30,68.65,129.17,45.53,1004.59,19.85,1808.08,0.7,1655.7,19.0,4.86,5.02,0.4487,1029.6324,19.0000,55.93,18.79,992.28
2023-12-01T14:19:41,53.07,104.17,15864.52,18171.37,42.08,79.17,45.26,1002.46,19.89,1804.13,0.7,1613.5,19.0,4.72,4.90,0.4360,1000.4681,19.0000,55.73,18.80,992.25
2023-12-01T14:19:47,45.51,89.33,15850.64,18155.64,56.06,105.48,44.91,999.72,19.92,1799.21,0.7,1576.0,19.0,4.71,4.87,0.4231,970.7425,19.0000,55.62,18.81,992.29
2023-12-01T14:19:52,45.51,89.32,15892.27,18202.07,56.53,106.35,44.70,996.78,19.98,1793.79,0.7,1533.1,19.0,4.73,4.89,0.4093,939.1513,20.0000,55.68,18.82,992.26
2023-12-01T14:19:57,49.11,96.39,15841.39,18143.30,57.46,108.10,44.63,995.15,20.00,1790.81,0.6,1490.0,19.0,4.53,4.69,0.3997,917.0731,20.0000,55.78,18.83,992.27
2023-12-01T14:20:03,49.11,96.38,15869.14,18174.40,53.27,100.21,44.65,993.38,20.08,1787.57,0.6,1460.9,19.0,4.63,4.79,0.3917,898.7561,20.0000,55.73,18.84,992.26
2023-12-01T14:20:08,37.58,73.75,15850.64,18152.44,49.54,93.19,44.55,992.97,20.09,1786.74,0.6,1435.9,19.0,4.89,5.03,0.3850,883.2278,20.0000,55.67,18.85,992.26
2023-12-01T14:21:15,45.51,89.31,15857.58,18159.73,49.54,93.19,44.46,991.97,20.13,1784.89,0.6,1413.9,20.0,,,0.3776,866.2519,20.0000,55.63,18.85,992.22
2023-12-01T14:21:20,56.31,110.50,15843.70,18143.06,50.00,94.05,44.39,991.86,20.15,1784.61,0.6,1393.5,20.0,5.08,5.23,0.3719,853.0178,20.0000,55.59,18.88,992.28
2023-12-01T14:21:25,49.11,96.37,15834.45,18131.43,58.86,110.71,44.30,991.82,20.20,1784.44,0.6,1376.0,20.0,5.37,5.52,0.3669,841.6082,20.0000,55.58,18.88,992.22
2023-12-01T14:21:31,49.11,96.37,15876.08,18179.65,55.13,103.70,44.25,991.38,20.22,1783.69,0.6,1361.3,20.0,5.35,5.50,0.3617,829.7858,20.0000,55.54,18.88,992.25
2023-12-01T14:21:36,41.54,81.51,15852.95,18151.62,63.99,120.35,44.19,991.35,20.26,1783.48,0.6,1349.1,20.0,5.14,5.28,0.3576,820.2122,21.0000,55.54,18.91,992.27
2023-12-01T14:21:38,44.79,87.84,2815.08,3221.70,56.99,107.14,43.55,995.75,20.60,1790.54,0.5,1111.5,21.0,4.38,4.44,0.2712,621.6677,22.0000,55.35,19.04,992.23
2023-12-01T14:21:41,52.71,103.43,15885.33,18189.29,55.60,104.58,44.13,992.67,20.32,1785.92,0.6,1338.3,20.0,4.76,4.89,0.3540,811.9060,21.0000,55.57,18.91,992.30
