timestamp(UTC),NetADC_SO2-SO2,NetADC_H2Sb-H2Sb,NetADC_CO-CO,NetADC_NO2-NO2,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-05-29T00:00:00,5.62,-1.23,79.42,39.05,21.11,325.80,30.56,4.24,4.24,0.1802,35.0000,21.99,28.99,1004.33
2023-05-29T00:00:05,30.82,-2.78,59.07,44.71,21.10,326.02,30.56,4.20,4.20,0.1801,35.0000,21.98,28.99,1004.29
2023-05-29T00:00:11,30.82,1.09,68.11,28.88,21.11,325.51,30.56,4.18,4.18,0.1801,35.0000,21.99,29.00,1004.35
2023-05-29T00:00:16,19.53,-5.49,72.63,39.62,21.19,325.41,30.54,4.12,4.12,0.1802,35.0000,21.99,28.99,1004.27
2023-05-29T00:00:22,33.43,-9.37,50.02,11.92,21.14,325.07,30.54,4.17,4.17,0.1802,35.0000,21.99,28.99,1004.32
2023-05-29T00:00:27,22.13,-0.46,83.94,33.96,21.14,324.72,30.54,4.15,4.15,0.1802,35.0000,21.99,28.99,1004.33
2023-05-29T00:00:33,27.35,-3.94,72.63,33.96,21.14,325.28,30.54,3.92,3.92,0.1802,35.0000,21.99,29.00,1004.36
2023-05-29T00:00:39,24.74,-5.49,92.98,39.05,21.16,325.78,30.56,3.97,3.97,0.1802,35.0000,21.99,28.99,1004.29
2023-05-29T00:00:44,22.13,-2.78,65.85,28.31,21.17,325.82,30.53,4.04,4.04,0.1802,35.0000,21.99,28.99,1004.31
2023-05-29T00:00:50,23.87,-1.62,90.72,39.05,21.17,326.21,30.56,3.98,3.98,0.1802,35.0000,22.00,28.99,1004.31
2023-05-29T00:00:55,28.22,-2.01,77.16,44.14,21.14,326.44,30.54,3.87,3.87,0.1802,35.0000,22.00,28.99,1004.31
2023-05-29T00:01:01,9.10,0.70,86.20,44.71,21.19,326.70,30.53,3.89,3.89,0.1802,35.0000,21.99,28.99,1004.32
2023-05-29T00:01:06,20.40,-0.07,70.37,23.22,21.16,326.39,30.54,3.91,3.91,0.1802,35.0000,21.99,28.99,1004.30
2023-05-29T00:01:12,32.56,-5.11,52.28,33.96,21.16,326.35,30.54,4.01,4.01,0.1802,35.0000,22.00,28.98,1004.30
2023-05-29T00:01:18,-2.20,-4.72,61.33,33.96,21.13,326.18,30.56,3.85,3.85,0.1802,35.0000,22.00,28.99,1004.30
2023-05-29T00:01:23,26.48,-5.88,54.54,33.96,21.17,325.56,30.56,3.95,3.95,0.1802,35.0000,22.01,28.99,1004.29
2023-05-29T00:01:29,14.31,0.70,74.89,28.88,21.13,325.07,30.56,4.14,4.14,0.1803,35.0000,22.01,28.99,1004.31
2023-05-29T00:01:34,23.87,1.09,59.07,44.71,21.14,325.10,30.56,4.56,4.56,0.1803,35.0000,22.00,28.98,1004.30
2023-05-29T00:01:40,22.13,-5.88,63.59,23.22,21.16,325.26,30.53,4.49,4.49,0.1804,35.0000,22.00,28.99,1004.31
2023-05-29T00:01:45,15.18,-2.01,56.81,23.22,21.16,325.54,30.56,4.42,4.42,0.1803,35.0000,22.00,28.98,1004.32
2023-05-29T00:01:51,22.13,-2.78,74.89,44.71,21.19,325.22,30.56,4.38,4.38,0.1803,35.0000,22.01,28.99,1004.31
2023-05-29T00:01:57,18.66,-1.23,79.42,33.40,21.11,324.84,30.54,4.36,4.36,0.1803,35.0000,22.00,28.98,1004.32
2023-05-29T00:02:02,26.48,-2.78,88.46,44.71,21.13,324.91,30.54,4.26,4.26,0.1803,35.0000,22.01,28.98,1004.29
2023-05-29T00:02:08,22.13,2.25,61.33,39.05,21.19,325.20,30.53,4.14,4.14,0.1803,35.0000,22.01,28.98,1004.31
2023-05-29T00:02:13,32.56,1.09,70.37,33.40,21.13,325.46,30.54,4.28,4.28,0.1803,35.0000,22.01,28.99,1004.29
2023-05-29T00:02:19,20.40,-0.07,61.33,33.96,21.13,325.12,30.53,4.31,4.31,0.1803,35.0000,22.00,28.98,1004.34
2023-05-29T00:02:25,20.40,3.42,83.94,44.71,21.16,324.58,30.54,4.06,4.06,0.1802,35.0000,22.01,28.99,1004.33
2023-05-29T00:02:30,23.87,4.58,90.72,39.05,21.17,324.06,30.53,4.15,4.15,0.1803,35.0000,22.01,28.99,1004.30
2023-05-29T00:02:36,20.40,-5.88,74.89,33.96,21.16,324.07,30.54,4.08,4.08,0.1804,35.0000,22.01,28.98,1004.32
2023-05-29T00:02:41,18.66,-6.27,72.63,23.22,21.14,324.59,30.53,3.87,3.87,0.1803,35.0000,22.01,28.98,1004.32
2023-05-29T00:02:47,33.43,-7.43,63.59,33.40,21.14,324.24,30.56,3.79,3.79,0.1803,35.0000,22.01,28.98,1004.32
2023-05-29T00:02:52,30.82,-3.56,54.54,23.22,21.22,324.66,30.54,3.82,3.82,0.1803,35.0000,22.01,28.98,1004.35
2023-05-29T00:02:58,23.00,-3.56,79.42,44.71,21.17,324.67,30.51,3.70,3.70,0.1803,35.0000,22.02,28.98,1004.30
2023-05-29T00:03:03,26.48,-5.88,72.63,44.14,21.17,324.64,30.53,3.73,3.73,0.1803,35.0000,22.02,28.98,1004.30
2023-05-29T00:03:09,25.61,-0.46,59.07,44.71,21.19,324.78,30.53,3.78,3.78,0.1804,35.0000,22.02,28.98,1004.32
2023-05-29T00:03:15,22.13,-2.78,72.63,55.45,21.17,324.93,30.51,3.97,3.97,0.1803,35.0000,22.01,28.98,1004.32
2023-05-29T00:03:20,18.66,-4.72,43.24,33.40,21.19,324.82,30.54,4.14,4.14,0.1803,35.0000,22.01,28.98,1004.31
2023-05-29T00:03:26,23.00,-6.27,74.89,44.71,21.20,324.76,30.54,4.42,4.42,0.1803,35.0000,22.02,28.98,1004.32
2023-05-29T00:03:31,14.31,-0.07,68.11,33.96,21.16,324.65,30.53,4.61,4.61,0.1803,35.0000,22.02,28.97,1004.32
2023-05-29T00:03:37,28.22,-0.07,59.07,39.05,21.19,325.05,30.54,4.59,4.59,0.1803,35.0000,22.02,28.97,1004.32
2023-05-29T00:03:42,24.74,-0.07,72.63,33.96,21.17,324.79,30.53,4.64,4.64,0.1803,35.0000,22.02,28.98,1004.33
2023-05-29T00:03:48,26.48,-0.07,81.68,28.31,21.17,324.98,30.53,4.59,4.59,0.1803,35.0000,22.01,28.97,1004.34
2023-05-29T00:03:54,29.09,-2.01,47.76,23.22,21.17,325.49,30.53,4.46,4.46,0.1803,35.0000,22.02,28.97,1004.34
2023-05-29T00:03:59,17.79,2.64,59.07,55.45,21.17,324.82,30.51,4.50,4.50,0.1803,35.0000,22.02,28.98,1004.36
2023-05-29T00:04:05,22.13,-0.46,43.24,34.53,21.17,324.90,30.53,4.59,4.59,0.1804,35.0000,22.03,28.97,1004.36
2023-05-29T00:04:10,16.05,-4.33,81.68,49.79,21.20,325.48,30.53,4.41,4.41,0.1804,35.0000,22.02,28.97,1004.32
2023-05-29T00:04:16,22.13,-3.56,63.59,45.27,21.19,325.80,30.53,4.27,4.27,0.1803,35.0000,22.02,28.97,1004.33
2023-05-29T00:04:21,20.40,-6.27,70.37,50.36,21.14,326.10,30.54,4.11,4.11,0.1803,35.0000,22.03,28.97,1004.35
2023-05-29T00:04:27,16.05,-4.33,77.16,28.88,21.19,326.22,30.51,4.00,4.00,0.1804,35.0000,22.03,28.97,1004.33
2023-05-29T00:04:33,14.31,-8.20,65.85,39.05,21.19,326.64,30.54,3.82,3.82,0.1803,35.0000,22.03,28.97,1004.34
2023-05-29T00:04:38,28.22,-1.62,63.59,33.96,21.23,326.46,30.51,3.57,3.57,0.1804,35.0000,22.02,28.98,1004.34
