timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-02-12T10:28:55,29.22,56.40,-75.59,-139.86,47.93,830.70,23.60,1470.22,1.87,3.47,1.2176,2747.3361,23.0000,52.66,22.68,988.77
2024-02-12T10:29:00,42.53,82.09,-71.36,-132.03,47.81,830.68,23.63,1470.11,1.22,2.04,1.0505,2370.3995,23.0000,52.61,22.69,988.76
2024-02-12T10:29:05,39.28,75.82,-67.61,-125.09,47.76,829.91,23.67,1468.76,1.13,1.78,0.8712,1965.8199,23.0000,52.57,22.69,988.77
2024-02-12T10:29:10,45.78,88.36,-71.83,-132.89,47.63,830.54,23.69,1469.76,0.95,1.39,0.7520,1696.7171,23.0000,52.55,22.70,988.72
2024-02-12T10:29:15,45.45,87.72,-72.30,-133.76,47.57,831.90,23.71,1472.14,0.92,1.27,0.6799,1534.0394,23.0000,52.51,22.71,988.74
2024-02-12T10:29:20,41.88,80.83,-77.00,-142.45,47.53,832.46,23.74,1473.14,0.92,1.27,0.6325,1427.0044,23.0000,52.50,22.72,988.78
2024-02-12T10:29:25,45.13,87.10,-77.00,-142.44,47.41,834.14,23.80,1475.99,0.92,1.27,0.6013,1356.5659,24.0000,52.50,22.73,988.72
2024-02-12T10:29:30,44.81,86.48,-59.15,-109.42,47.41,833.33,23.80,1474.51,0.91,1.25,0.5709,1287.9746,24.0000,52.49,22.74,988.74
2024-02-12T10:29:35,44.48,85.84,-50.23,-92.92,47.37,832.95,23.83,1473.81,0.85,1.15,0.5454,1230.2898,24.0000,52.47,22.75,988.74
2024-02-12T10:29:40,41.23,79.57,-59.15,-109.42,47.28,833.49,23.85,1474.79,0.86,1.14,0.5240,1182.0541,24.0000,52.43,22.75,988.77
2024-02-12T10:29:45,44.48,85.84,-59.62,-110.28,47.25,833.44,23.88,1474.65,0.82,1.05,0.5057,1140.7699,24.0000,52.40,22.76,988.76
2024-02-12T10:29:50,54.22,104.63,-46.00,-85.09,47.22,833.56,23.90,1474.81,0.85,1.09,0.4908,1107.1071,24.0000,52.37,22.77,988.76
2024-02-12T10:29:55,40.91,78.94,-41.31,-76.41,47.12,833.64,23.94,1474.89,0.84,1.08,0.4794,1081.3622,24.0000,52.36,22.78,988.75
