timestamp(UTC),NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_O3-O3,NetADC_O3-O3_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-20T00:00:00,45.57,85.95,98.88,113.54,53.57,105.41,21.87,502.69,23.69,906.95,2.25,2.25,0.1133,260.7304,28.0000,24.28,22.27,1006.57
2024-03-20T00:00:05,32.42,61.15,127.73,146.67,43.51,85.62,21.85,501.55,23.66,904.90,2.31,2.31,0.1132,260.4779,28.0000,24.25,22.28,1006.60
2024-03-20T00:00:10,27.73,52.30,163.78,188.07,53.25,104.78,21.88,501.73,23.66,905.22,2.33,2.33,0.1131,260.1051,28.0000,24.22,22.28,1006.60
2024-03-20T00:00:15,41.35,77.99,168.59,193.58,50.00,98.39,21.87,502.07,23.67,905.83,2.36,2.36,0.1131,260.0821,28.0000,24.21,22.28,1006.58
2024-03-20T00:00:20,41.81,78.86,146.95,168.73,46.75,91.99,21.84,502.57,23.67,906.70,2.53,2.53,0.1131,260.1358,28.0000,24.22,22.28,1006.57
2024-03-20T00:00:25,46.04,86.84,146.95,168.74,53.25,104.78,21.84,502.57,23.67,906.72,2.49,2.49,0.1131,260.0890,28.0000,24.22,22.28,1006.58
2024-03-20T00:00:30,27.73,52.31,149.36,171.51,50.00,98.39,21.82,502.90,23.66,907.35,2.52,2.52,0.1131,260.1578,28.0000,24.24,22.27,1006.59
2024-03-20T00:00:35,41.35,77.99,137.34,157.69,46.75,91.99,21.83,502.83,23.66,907.15,2.51,2.51,0.1132,260.3682,28.0000,24.24,22.28,1006.53
2024-03-20T00:00:40,37.12,70.01,134.94,154.94,39.93,78.57,21.88,502.97,23.66,907.42,2.49,2.49,0.1132,260.4218,28.0000,24.23,22.28,1006.57
2024-03-20T00:00:45,32.42,61.15,125.32,143.91,50.00,98.39,21.80,503.61,23.66,908.63,2.51,2.51,0.1132,260.3560,28.0000,24.23,22.27,1006.59
2024-03-20T00:00:50,32.42,61.15,142.15,163.22,36.36,71.55,21.87,503.97,23.66,909.23,2.56,2.56,0.1132,260.3173,28.0000,24.23,22.28,1006.57
2024-03-20T00:00:55,41.81,78.86,142.15,163.22,50.00,98.38,21.83,503.63,23.64,908.60,2.63,2.63,0.1132,260.4798,28.0000,24.23,22.28,1006.54
2024-03-20T00:01:00,50.27,94.82,156.57,179.78,59.74,117.55,21.86,503.83,23.64,908.98,2.63,2.63,0.1133,260.6037,28.0000,24.23,22.28,1006.56
2024-03-20T00:01:05,37.12,70.01,166.18,190.81,46.43,91.36,21.85,503.78,23.66,908.85,2.65,2.65,0.1132,260.3716,28.0000,24.22,22.28,1006.53
2024-03-20T00:01:10,36.65,69.13,132.53,152.18,43.18,84.97,21.80,504.73,23.67,910.61,2.79,2.79,0.1131,260.1601,28.0000,24.22,22.28,1006.57
2024-03-20T00:01:15,37.12,70.01,132.53,152.18,49.68,97.76,21.83,504.82,23.64,910.79,2.85,2.85,0.1131,260.1630,28.0000,24.23,22.27,1006.55
2024-03-20T00:01:20,31.95,60.26,149.36,171.50,57.14,112.43,21.85,505.11,23.67,911.28,2.82,2.82,0.1132,260.2944,28.0000,24.24,22.28,1006.56
2024-03-20T00:01:25,45.57,85.95,110.90,127.33,47.08,92.64,21.86,505.28,23.64,911.57,2.89,2.89,0.1132,260.2650,28.0000,24.23,22.28,1006.53
2024-03-20T00:01:30,40.88,77.10,118.11,135.61,57.14,112.43,21.86,506.05,23.63,912.96,3.03,3.03,0.1132,260.3015,27.0000,24.22,22.28,1006.53
2024-03-20T00:01:35,49.80,93.93,118.11,135.61,53.90,106.06,21.80,505.85,23.66,912.59,2.89,2.89,0.1131,260.0699,28.0000,24.20,22.28,1006.54
2024-03-20T00:01:40,45.57,85.95,108.50,124.58,57.14,112.43,21.83,505.11,23.66,911.26,2.77,2.77,0.1131,260.1076,28.0000,24.19,22.28,1006.52
2024-03-20T00:01:45,31.95,60.26,122.92,141.14,60.39,118.83,21.85,505.14,23.67,911.33,2.73,2.73,0.1131,260.0780,28.0000,24.19,22.28,1006.54
2024-03-20T00:01:50,40.88,77.10,108.50,124.58,57.14,112.43,21.82,505.08,23.67,911.21,2.71,2.71,0.1130,259.9238,28.0000,24.19,22.28,1006.54
2024-03-20T00:01:55,40.88,77.10,120.52,138.38,53.90,106.05,21.84,505.18,23.67,911.37,2.88,2.88,0.1130,260.0077,28.0000,24.19,22.28,1006.51
2024-03-20T00:02:00,49.80,93.93,106.09,121.81,60.39,118.83,21.87,505.27,23.66,911.55,2.89,2.89,0.1130,259.9676,27.0000,24.19,22.28,1006.54
2024-03-20T00:02:05,45.57,85.95,115.71,132.86,53.90,106.06,21.82,504.34,23.66,909.87,2.81,2.81,0.1130,260.0167,28.0000,24.20,22.28,1006.53
2024-03-20T00:02:10,40.88,77.10,142.15,163.22,57.14,112.43,21.85,504.11,23.67,909.46,2.67,2.67,0.1131,260.0488,28.0000,24.21,22.28,1006.53
2024-03-20T00:02:15,40.88,77.10,118.11,135.61,60.72,119.48,21.85,503.53,23.66,908.41,2.52,2.52,0.1130,259.9543,28.0000,24.22,22.28,1006.54
2024-03-20T00:02:20,36.18,68.24,113.31,130.11,63.96,125.85,21.83,503.62,23.66,908.60,2.44,2.44,0.1131,260.1775,28.0000,24.22,22.28,1006.55
