timestamp(UTC),NetPM-PM25,NetPM-PM10,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA,NetADC_NO2-NO2,NetADC_NO2-NO2_ug
2024-02-12T10:23:17,1.99,2.68,47.23,880.97,23.56,1559.62,0.8263,1864.9146,23.0000,51.27,22.88,989.71,0.96,1.78
2024-02-12T10:23:22,1.64,2.09,47.13,874.32,23.62,1547.81,0.6653,1501.5322,23.0000,51.20,22.89,989.73,0.96,1.78
2024-02-12T10:23:27,1.47,1.88,47.02,867.06,23.64,1534.89,0.5615,1267.2658,23.0000,51.18,22.90,989.72,10.02,18.54
2024-02-12T10:23:32,1.33,1.70,46.97,863.68,23.66,1528.91,0.4947,1116.4826,23.0000,51.18,22.91,989.75,14.31,26.48
2024-02-12T10:23:37,1.08,1.36,46.92,862.82,23.71,1527.29,0.4501,1015.7261,23.0000,51.19,22.92,989.72,14.31,26.48
2024-02-12T10:23:42,0.98,1.26,46.89,858.97,23.71,1520.44,0.4218,951.9807,23.0000,51.21,22.94,989.76,-8.58,-15.88
2024-02-12T10:23:47,0.97,1.25,46.83,857.40,23.74,1517.64,0.3978,897.7243,23.0000,51.30,22.94,989.75,18.60,34.42
2024-02-12T10:23:52,0.96,1.22,46.83,858.21,23.76,1519.03,0.3787,854.4874,23.0000,51.24,22.95,989.76,14.31,26.48
2024-02-12T10:23:57,0.99,1.27,46.81,857.85,23.79,1518.36,0.3638,820.9655,23.0000,51.27,22.96,989.77,13.83,25.59
2024-02-12T10:24:02,1.08,1.39,46.79,857.20,23.83,1517.20,0.3516,793.4878,23.0000,51.31,22.96,989.77,9.06,16.76
2024-02-12T10:24:07,1.26,1.60,46.80,856.84,23.84,1516.51,0.3419,771.5662,23.0000,51.26,22.97,989.76,13.83,25.59
2024-02-12T10:24:12,1.50,1.99,46.73,856.58,23.85,1515.96,0.3336,752.8025,24.0000,51.18,22.98,989.74,22.89,42.35
2024-02-12T10:24:17,1.49,1.99,46.67,857.10,23.90,1516.85,0.3248,732.9598,24.0000,51.07,22.99,989.75,9.06,16.76
2024-02-12T10:24:22,1.37,1.80,46.49,858.34,23.94,1518.91,0.3172,715.5954,24.0000,50.98,23.00,989.69,27.19,50.30
2024-02-12T10:24:27,1.29,1.67,46.38,859.80,23.93,1521.53,0.3106,700.8546,24.0000,50.93,23.00,989.73,18.13,33.54
2024-02-12T10:24:32,1.28,1.65,46.29,858.96,23.96,1519.95,0.3054,689.0088,24.0000,50.90,23.02,989.72,18.13,33.54
2024-02-12T10:24:37,1.23,1.57,46.23,858.25,23.97,1518.67,0.3011,679.3614,24.0000,50.85,23.02,989.71,4.29,7.94
2024-02-12T10:24:42,1.07,1.36,46.17,857.30,24.03,1516.89,0.2967,669.2413,24.0000,50.90,23.03,989.68,18.13,33.54
2024-02-12T10:24:47,1.02,1.29,46.10,857.19,24.04,1516.75,0.2934,661.8699,24.0000,50.98,23.03,989.71,18.13,33.54
2024-02-12T10:24:52,1.10,1.39,46.19,856.67,24.07,1515.74,0.2903,654.8433,24.0000,50.95,23.04,989.69,13.36,24.71
2024-02-12T10:24:57,1.13,1.43,46.15,855.58,24.07,1513.79,0.2869,647.0866,24.0000,50.91,23.05,989.72,18.13,33.54
2024-02-12T10:25:02,1.18,1.48,46.12,856.18,24.08,1514.81,0.2835,639.5812,24.0000,50.85,23.06,989.72,17.65,32.65
2024-02-12T10:25:07,1.10,1.37,46.04,855.66,24.09,1513.88,0.2812,634.2824,25.0000,50.78,23.07,989.75,17.65,32.65
2024-02-12T10:25:12,1.03,1.29,45.90,854.36,24.14,1511.52,0.2782,627.5737,24.0000,50.72,23.08,989.73,3.82,7.07
2024-02-12T10:25:17,0.86,1.07,45.85,854.42,24.14,1511.66,0.2752,620.8636,25.0000,50.68,23.08,989.75,31.96,59.11
2024-02-12T10:25:22,0.92,1.16,45.81,854.96,24.17,1512.54,0.2732,616.2014,25.0000,50.66,23.09,989.74,8.59,15.89
2024-02-12T10:25:27,0.96,1.20,45.73,854.55,24.19,1511.78,0.2713,612.0107,25.0000,50.61,23.10,989.75,3.82,7.07
2024-02-12T10:25:32,1.00,1.25,45.67,854.95,24.21,1512.47,0.2698,608.5331,25.0000,50.57,23.10,989.74,12.88,23.82
