timestamp(UTC),NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA,NetPM-PM25,NetPM-PM10
2024-03-12T13:56:06,-96.34,-181.55,46.14,1451.95,21.29,2617.28,0.8726,2005.2915,20.0000,48.23,20.89,1000.97,3.44,5.27
2024-03-12T13:56:11,-51.51,-97.06,45.60,1457.17,21.33,2626.49,0.7381,1696.1841,20.0000,48.62,20.91,1000.96,2.63,3.49
2024-03-12T13:56:16,-35.29,-66.50,45.38,1469.82,21.40,2649.24,0.6379,1465.8163,20.0000,48.70,20.92,1000.98,2.14,2.86
2024-03-12T13:56:21,-18.12,-34.14,45.54,1490.44,21.43,2686.34,0.5430,1247.6561,20.0000,48.64,20.93,1000.98,1.63,1.91
2024-03-12T13:56:26,22.42,42.24,45.41,1521.91,21.44,2742.84,0.4661,1070.9987,20.0000,49.74,20.95,1000.97,1.50,1.81
2024-03-12T13:56:31,21.94,41.34,45.40,1559.75,21.54,2811.00,0.4089,939.5111,21.0000,50.07,20.96,1001.00,1.44,1.69
2024-03-12T13:56:36,15.74,29.65,45.91,1572.10,21.57,2833.10,0.3769,865.8835,21.0000,49.80,20.98,1001.01,1.34,1.52
2024-03-12T13:56:41,24.80,46.72,46.22,1577.13,21.57,2842.00,0.3499,803.8956,21.0000,50.25,20.99,1000.98,1.22,1.37
2024-03-12T13:56:46,32.43,61.09,46.34,1581.52,21.64,2849.77,0.3301,758.2498,21.0000,49.93,21.01,1001.01,1.08,1.08
2024-03-12T13:56:51,-1.43,-2.69,46.72,1592.62,21.66,2869.64,0.3141,721.6428,21.0000,48.86,21.02,1000.99,1.08,1.08
2024-03-12T13:56:56,11.45,21.57,46.10,1594.44,21.68,2872.88,0.3007,690.7561,21.0000,48.52,21.02,1000.97,1.00,1.00
2024-03-12T13:57:01,34.82,65.59,45.35,1595.93,21.71,2875.47,0.2912,669.0196,21.0000,49.32,21.03,1000.97,0.84,0.84
2024-03-12T13:57:06,39.59,74.57,45.02,1594.14,21.74,2872.16,0.2831,650.1900,21.0000,49.83,21.05,1001.01,0.69,0.69
2024-03-12T13:57:11,38.63,72.76,45.35,1597.24,21.80,2877.66,0.2766,635.2774,21.0000,50.01,21.05,1000.99,0.62,0.62
2024-03-12T13:57:16,33.39,62.89,45.63,1598.34,21.84,2879.43,0.2705,621.2041,21.0000,50.01,21.07,1000.98,0.55,0.55
2024-03-12T13:57:21,37.20,70.06,45.72,1598.74,21.85,2880.15,0.2677,614.8569,21.0000,49.96,21.07,1000.98,0.50,0.50
2024-03-12T13:57:26,32.43,61.07,45.76,1601.41,21.89,2884.82,0.2599,596.9220,22.0000,50.37,21.09,1001.00,0.53,0.53
2024-03-12T13:57:31,22.42,42.22,45.72,1603.93,21.93,2889.31,0.2565,589.1059,22.0000,49.72,21.10,1001.01,0.60,0.60
2024-03-12T13:57:36,26.71,50.30,45.60,1607.17,21.95,2895.07,0.2526,580.0983,22.0000,49.36,21.11,1001.02,0.61,0.61
2024-03-12T13:57:41,12.40,23.35,45.35,1609.51,21.98,2899.16,0.2488,571.2750,22.0000,48.89,21.11,1000.98,0.66,0.66
2024-03-12T13:57:46,16.69,31.43,44.94,1611.66,22.01,2902.89,0.2448,562.0731,22.0000,48.73,21.13,1001.00,0.65,0.65
2024-03-12T13:57:51,20.99,39.52,44.73,1611.83,22.02,2903.02,0.2419,555.4530,22.0000,48.72,21.14,1000.98,0.70,0.70
2024-03-12T13:57:56,15.74,29.64,44.58,1611.75,22.06,2902.84,0.2401,551.3511,22.0000,47.76,21.14,1000.96,0.83,0.83
2024-03-12T13:58:01,24.80,46.69,44.23,1610.33,22.08,2900.23,0.2378,546.0856,22.0000,47.14,21.15,1000.98,0.86,0.86
2024-03-12T13:58:06,33.86,63.75,43.59,1608.01,22.08,2895.99,0.2353,540.3367,22.0000,47.29,21.16,1000.99,0.83,0.83
2024-03-12T13:58:11,15.26,28.73,43.32,1602.59,22.09,2886.09,0.2336,536.3773,23.0000,46.97,21.16,1000.94,0.74,0.74
