timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-24T00:00:00,48.04,92.71,50.84,57.25,39.11,72.34,24.89,497.11,25.27,879.58,0.28,0.28,0.0982,221.5880,29.0000,27.29,23.99,992.88
2024-03-24T00:00:05,44.44,85.76,36.07,40.62,30.05,55.59,24.91,498.00,25.28,881.16,0.28,0.28,0.0982,221.6147,29.0000,27.30,23.99,992.90
2024-03-24T00:00:10,47.71,92.07,53.30,60.02,21.46,39.70,24.88,498.00,25.31,881.15,0.27,0.27,0.0983,221.7467,29.0000,27.31,23.99,992.88
2024-03-24T00:00:15,44.77,86.40,45.92,51.71,34.34,63.52,24.84,497.75,25.30,880.75,0.30,0.30,0.0983,221.7506,29.0000,27.30,23.98,992.90
2024-03-24T00:00:20,41.49,80.07,60.69,68.35,34.34,63.52,24.89,497.00,25.28,879.40,0.33,0.33,0.0984,221.9797,29.0000,27.30,23.98,992.88
2024-03-24T00:00:25,61.79,119.24,45.92,51.71,34.34,63.52,24.84,497.46,25.30,880.18,0.31,0.31,0.0985,222.1369,29.0000,27.30,23.99,992.87
2024-03-24T00:00:30,51.64,99.65,77.92,87.74,34.34,63.52,24.91,497.20,25.31,879.70,0.26,0.26,0.0983,221.6824,29.0000,27.29,23.99,992.85
2024-03-24T00:00:35,44.77,86.40,53.30,60.02,25.28,46.76,24.89,497.74,25.30,880.69,0.26,0.26,0.0983,221.7880,29.0000,27.29,23.99,992.89
2024-03-24T00:00:40,48.04,92.70,48.38,54.48,34.34,63.52,24.89,497.59,25.28,880.40,0.25,0.25,0.0984,221.9223,29.0000,27.29,24.00,992.89
2024-03-24T00:00:45,51.64,99.65,45.92,51.71,16.22,30.00,24.90,498.43,25.31,881.85,0.27,0.27,0.0984,221.8717,29.0000,27.31,24.00,992.85
2024-03-24T00:00:50,51.64,99.65,65.61,73.88,25.28,46.76,24.88,498.65,25.30,882.30,0.27,0.27,0.0983,221.6426,29.0000,27.29,23.99,992.88
2024-03-24T00:00:55,54.91,105.97,72.99,82.20,30.05,55.59,24.87,498.57,25.32,882.16,0.30,0.30,0.0982,221.5005,29.0000,27.26,23.99,992.90
2024-03-24T00:01:00,54.91,105.97,23.76,26.76,34.34,63.52,24.84,499.25,25.31,883.38,0.47,0.47,0.0982,221.5039,29.0000,27.22,23.98,992.87
2024-03-24T00:01:05,54.91,105.97,43.45,48.93,20.51,37.94,24.82,499.43,25.30,883.71,0.54,0.54,0.0982,221.5348,29.0000,27.29,23.98,992.89
2024-03-24T00:01:10,54.91,105.97,33.61,37.85,20.99,38.83,24.81,499.57,25.28,883.97,0.52,0.52,0.0983,221.7699,29.0000,27.31,23.98,992.91
2024-03-24T00:01:15,41.16,79.43,60.69,68.35,48.17,89.11,24.87,499.83,25.31,884.43,0.46,0.46,0.0982,221.4722,29.0000,27.30,23.98,992.90
2024-03-24T00:01:20,54.91,105.97,45.92,51.71,30.05,55.59,24.88,499.30,25.28,883.46,0.43,0.43,0.0982,221.5494,29.0000,27.28,23.98,992.87
2024-03-24T00:01:25,61.79,119.24,58.22,65.56,25.28,46.76,24.88,499.36,25.30,883.57,0.40,0.40,0.0983,221.8236,29.0000,27.25,23.98,992.87
2024-03-24T00:01:30,51.31,99.02,43.45,48.93,34.34,63.52,24.81,498.74,25.32,882.49,0.38,0.38,0.0982,221.5238,29.0000,27.23,23.98,992.88
2024-03-24T00:01:35,54.91,105.96,45.92,51.71,30.05,55.59,24.88,498.90,25.30,882.74,0.36,0.36,0.0982,221.5942,29.0000,27.27,23.98,992.85
2024-03-24T00:01:40,54.91,105.97,16.38,18.45,34.34,63.52,24.85,499.21,25.25,883.30,0.33,0.33,0.0984,221.8674,29.0000,27.27,23.99,992.90
2024-03-24T00:01:45,48.04,92.71,26.22,29.53,39.11,72.35,24.87,498.70,25.30,882.38,0.33,0.33,0.0985,222.1331,29.0000,27.28,23.98,992.86
2024-03-24T00:01:50,48.04,92.71,23.76,26.76,34.34,63.52,24.85,498.19,25.31,881.48,0.36,0.36,0.0983,221.7270,29.0000,27.27,23.98,992.85
2024-03-24T00:01:55,48.04,92.71,60.69,68.34,25.28,46.76,24.90,498.80,25.31,882.56,0.34,0.34,0.0982,221.4447,29.0000,27.26,23.99,992.88
2024-03-24T00:02:00,48.04,92.71,45.92,51.71,43.40,80.28,24.86,498.87,25.28,882.73,0.33,0.33,0.0983,221.7567,29.0000,27.26,23.98,992.89
