timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-18T23:00:01,41.49,82.18,228.08,263.64,30.05,57.06,41.56,1052.52,21.87,1911.55,0.90,0.90,0.1417,328.1056,26.0000,46.63,20.47,1007.06
2024-03-18T23:00:06,37.56,74.39,233.00,269.31,12.40,23.54,41.60,1052.51,21.87,1911.42,0.95,0.95,0.1417,327.9975,26.0000,46.64,20.48,1007.03
2024-03-18T23:00:12,34.94,69.21,228.08,263.62,25.28,48.00,41.56,1052.71,21.85,1911.80,0.91,0.91,0.1415,327.7114,26.0000,46.63,20.47,1007.01
2024-03-18T23:00:16,38.22,75.70,218.23,252.23,25.28,48.00,41.55,1053.65,21.87,1913.45,0.85,0.85,0.1417,328.1304,26.0000,46.65,20.48,1007.02
2024-03-18T23:00:21,38.22,75.70,218.23,252.24,34.34,65.20,41.58,1053.88,21.88,1913.93,0.86,0.86,0.1417,328.1351,26.0000,46.63,20.48,1007.05
2024-03-18T23:00:27,38.22,75.70,203.46,235.17,34.34,65.20,41.56,1053.72,21.87,1913.68,0.86,0.86,0.1416,327.9719,26.0000,46.64,20.47,1007.04
2024-03-18T23:00:31,45.09,89.31,225.62,260.78,30.05,57.05,41.55,1054.13,21.85,1914.40,0.94,0.94,0.1418,328.2297,26.0000,46.65,20.47,1007.02
2024-03-18T23:00:36,34.94,69.21,220.70,255.10,30.05,57.05,41.55,1055.68,21.88,1917.23,1.05,1.05,0.1418,328.3039,26.0000,46.65,20.47,1007.03
2024-03-18T23:00:41,31.34,62.08,215.77,249.41,25.28,48.00,41.60,1055.32,21.89,1916.66,1.06,1.06,0.1417,328.1028,26.0000,46.66,20.46,1007.04
2024-03-18T23:00:46,38.22,75.70,240.39,277.86,34.34,65.20,41.59,1055.31,21.87,1916.56,1.08,1.08,0.1417,328.1442,26.0000,46.66,20.47,1007.03
