timestamp(UTC),NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_O3-O3,NetADC_O3-O3_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-26T23:00:03,30.53,55.80,132.07,146.96,33.96,64.76,25.13,494.79,24.36,865.10,1.54,1.54,0.1058,235.7819,28.0000,27.84,23.00,977.85
2024-03-26T23:00:08,39.59,72.37,90.23,100.41,48.04,91.61,25.12,494.60,24.39,864.79,1.54,1.54,0.1057,235.6755,28.0000,27.84,22.99,977.83
2024-03-26T23:00:13,39.11,71.49,75.46,83.97,51.64,98.48,25.13,494.75,24.38,865.06,1.81,1.81,0.1057,235.7308,28.0000,27.84,22.99,977.86
2024-03-26T23:00:18,34.82,63.65,109.92,122.32,48.04,91.61,25.13,494.54,24.38,864.71,1.92,1.92,0.1058,235.7782,28.0000,27.84,22.99,977.87
2024-03-26T23:00:23,30.05,54.93,112.38,125.06,41.16,78.49,25.18,494.85,24.38,865.24,1.89,1.89,0.1057,235.6684,28.0000,27.83,22.99,977.87
2024-03-26T23:00:28,39.11,71.49,107.46,119.58,37.89,72.26,25.12,494.43,24.38,864.50,1.78,1.78,0.1057,235.6900,28.0000,27.85,22.99,977.84
2024-03-26T23:00:33,34.82,63.65,95.15,105.88,48.04,91.61,25.13,493.83,24.38,863.44,1.78,1.78,0.1056,235.4399,28.0000,27.85,22.99,977.85
2024-03-26T23:00:38,48.65,88.93,82.84,92.19,48.04,91.61,25.11,494.15,24.36,864.02,1.88,1.88,0.1057,235.6696,28.0000,27.84,22.98,977.84
2024-03-26T23:00:43,52.94,96.77,77.92,86.71,51.31,97.85,25.14,493.93,24.40,863.62,1.87,1.87,0.1058,235.7987,28.0000,27.85,22.99,977.85
2024-03-26T23:00:48,43.88,80.21,109.92,122.32,41.16,78.49,25.16,493.84,24.39,863.45,1.87,1.87,0.1057,235.6604,28.0000,27.85,22.99,977.83
