timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P3-PPM,NetPid_P3-PPB_ug,NetPid_P3-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-12-04T00:00:01,52.35,103.30,114.08,131.35,24.37,46.09,37.30,427.29,23.61,773.03,0.3,750.3,29.0,0.86,0.86,0.1937,446.6935,30.0000,49.43,21.60,1007.03
2023-12-04T00:00:07,17.77,35.06,155.70,179.28,15.98,30.22,37.28,426.66,23.61,771.89,0.3,752.8,29.0,0.83,0.83,0.1936,446.5216,30.0000,49.43,21.61,1007.07
2023-12-04T00:00:12,48.75,96.19,109.45,126.03,33.23,62.85,37.26,426.67,23.64,771.93,0.3,753.6,29.0,0.96,0.96,0.1936,446.5133,30.0000,49.43,21.60,1007.05
2023-12-04T00:00:17,41.18,81.26,104.83,120.70,28.57,54.04,37.30,426.34,23.64,771.32,0.3,752.1,29.0,1.02,1.02,0.1936,446.6085,30.0000,49.43,21.61,1007.07
2023-12-04T00:00:23,33.26,65.63,132.58,152.65,11.32,21.41,37.26,426.75,23.63,772.04,0.3,751.6,29.0,0.99,0.99,0.1936,446.5453,29.0000,49.43,21.61,1007.05
2023-12-04T00:00:28,40.82,80.54,132.58,152.65,20.18,38.17,37.27,426.96,23.61,772.40,0.3,747.8,29.0,0.87,0.87,0.1936,446.5551,30.0000,49.43,21.61,1007.04
2023-12-04T00:00:33,25.70,50.71,123.33,142.00,33.69,63.72,37.25,427.77,23.64,773.89,0.3,751.2,29.0,0.80,0.80,0.1936,446.5429,30.0000,49.43,21.61,1007.06
2023-12-04T00:00:39,33.26,65.63,118.70,136.67,20.18,38.17,37.27,427.51,23.63,773.40,0.3,751.1,29.0,0.79,0.79,0.1936,446.4788,29.0000,49.42,21.61,1007.05
2023-12-04T00:00:44,44.43,87.67,123.33,142.00,29.03,54.91,37.22,427.47,23.63,773.34,0.3,752.5,29.0,0.92,0.92,0.1936,446.4677,29.0000,49.41,21.61,1007.05
2023-12-04T00:00:49,29.66,58.52,107.14,123.36,29.03,54.91,37.24,427.49,23.64,773.40,0.3,753.6,29.0,0.97,0.97,0.1935,446.4175,29.0000,49.41,21.61,1007.08
2023-12-04T00:00:55,44.43,87.66,134.89,155.31,33.69,63.72,37.26,427.31,23.65,773.03,0.3,753.1,29.0,1.01,1.01,0.1935,446.4034,30.0000,49.42,21.61,1007.01
2023-12-04T00:01:00,33.26,65.62,132.58,152.65,33.69,63.72,37.24,427.54,23.64,773.45,0.3,753.4,29.0,1.07,1.07,0.1935,446.3759,30.0000,49.41,21.61,1007.03
2023-12-04T00:01:06,37.58,74.15,109.45,126.02,33.23,62.85,37.20,427.71,23.65,773.80,0.3,751.5,28.0,1.02,1.02,0.1936,446.4692,29.0000,49.41,21.60,1007.04
2023-12-04T00:01:11,48.75,96.19,127.95,147.32,28.57,54.03,37.22,427.24,23.61,772.90,0.3,753.0,29.0,0.96,0.96,0.1936,446.4180,30.0000,49.42,21.61,1007.02
2023-12-04T00:01:16,33.98,67.05,121.02,139.34,28.57,54.04,37.22,427.36,23.64,773.15,0.3,752.4,29.0,0.93,0.93,0.1936,446.4823,29.0000,49.42,21.61,1007.05
2023-12-04T00:01:22,41.18,81.25,107.14,123.36,37.42,70.77,37.22,427.36,23.63,773.15,0.3,754.2,29.0,0.94,0.94,0.1936,446.5032,30.0000,49.42,21.61,1007.07
2023-12-04T00:01:27,48.75,96.19,90.95,104.72,24.37,46.09,37.19,427.38,23.64,773.18,0.3,752.8,29.0,1.09,1.09,0.1935,446.3796,30.0000,49.42,21.61,1007.04
2023-12-04T00:01:32,45.15,89.09,107.14,123.36,33.23,62.85,37.22,427.38,23.64,773.18,0.3,752.0,29.0,1.15,1.15,0.1935,446.3562,29.0000,49.41,21.61,1007.05
2023-12-04T00:01:38,37.58,74.15,97.89,112.71,33.23,62.85,37.20,427.55,23.64,773.50,0.3,752.2,29.0,1.18,1.18,0.1935,446.3940,30.0000,49.41,21.61,1007.06
2023-12-04T00:01:43,37.58,74.15,100.20,115.37,29.03,54.91,37.22,427.35,23.63,773.15,0.3,752.9,29.0,1.27,1.27,0.1936,446.5720,29.0000,49.41,21.60,1007.04
2023-12-04T00:01:49,44.79,88.38,88.64,102.06,24.37,46.09,37.21,427.48,23.65,773.35,0.3,754.5,29.0,1.29,1.29,0.1936,446.5139,29.0000,49.42,21.61,1007.03
2023-12-04T00:01:54,48.75,96.19,102.52,118.04,33.23,62.85,37.25,427.70,23.63,773.78,0.3,753.2,29.0,1.24,1.24,0.1936,446.5755,30.0000,49.42,21.61,1007.07
2023-12-04T00:01:59,45.15,89.09,123.33,142.00,24.37,46.09,37.21,427.59,23.67,773.56,0.3,752.1,29.0,1.24,1.24,0.1936,446.4396,29.0000,49.41,21.61,1007.05
2023-12-04T00:02:05,44.79,88.38,109.45,126.02,33.23,62.85,37.25,427.39,23.64,773.20,0.3,756.4,29.0,1.15,1.15,0.1936,446.5966,30.0000,49.41,21.61,1007.07
2023-12-04T00:02:10,45.15,89.09,104.83,120.70,33.23,62.85,37.22,427.82,23.64,773.98,0.3,751.8,28.0,1.01,1.01,0.1936,446.5269,30.0000,49.42,21.61,1007.06
2023-12-04T00:02:15,55.95,110.40,107.14,123.36,37.42,70.77,37.27,428.07,23.61,774.42,0.3,751.9,29.0,0.87,0.87,0.1937,446.6633,30.0000,49.41,21.61,1007.05
2023-12-04T00:02:21,48.75,96.19,114.08,131.35,19.71,37.28,37.26,427.78,23.64,773.87,0.3,751.6,29.0,0.83,0.83,0.1936,446.5835,30.0000,49.42,21.62,1007.04
2023-12-04T00:02:26,33.62,66.34,97.89,112.71,28.57,54.03,37.24,427.66,23.64,773.66,0.3,752.5,29.0,0.82,0.82,0.1936,446.5596,30.0000,49.42,21.62,1007.06
2023-12-04T00:02:31,48.75,96.19,130.27,149.99,19.71,37.28,37.25,427.66,23.64,773.69,0.3,751.0,29.0,0.82,0.82,0.1936,446.5263,30.0000,49.41,21.62,1007.09
2023-12-04T00:02:37,33.62,66.34,123.33,142.00,19.71,37.28,37.24,427.39,23.64,773.18,0.3,752.3,29.0,0.86,0.86,0.1937,446.6723,30.0000,49.41,21.62,1007.06
2023-12-04T00:02:42,56.31,111.10,104.83,120.70,24.37,46.09,37.25,427.70,23.65,773.75,0.3,750.6,29.0,0.98,0.98,0.1936,446.4753,30.0000,49.41,21.62,1007.06
2023-12-04T00:02:47,37.58,74.15,93.27,107.39,19.71,37.28,37.26,427.65,23.64,773.65,0.3,752.6,29.0,1.12,1.12,0.1936,446.5294,30.0000,49.40,21.62,1007.07
2023-12-04T00:02:53,45.15,89.08,93.27,107.39,19.71,37.28,37.25,427.48,23.65,773.33,0.3,752.8,29.0,1.32,1.32,0.1936,446.5142,30.0000,49.41,21.62,1007.06
2023-12-04T00:02:58,44.79,88.37,95.58,110.05,19.71,37.28,37.20,427.08,23.64,772.60,0.3,752.3,29.0,1.30,1.30,0.1936,446.5258,29.0000,49.40,21.61,1007.01
