timestamp(UTC),NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA,NetPM-PM25,NetPM-PM10
2024-02-12T10:23:13,46.93,711.47,23.73,1259.94,0.8037,1814.6745,23.0000,54.89,22.63,989.18,2.72,3.10
2024-02-12T10:23:19,46.87,711.27,23.77,1259.62,0.6593,1488.6589,23.0000,54.88,22.64,989.25,2.06,2.36
2024-02-12T10:23:24,46.70,709.32,23.77,1256.05,0.5825,1315.0996,23.0000,54.87,22.66,989.22,1.70,1.96
2024-02-12T10:23:30,46.64,708.25,23.84,1254.12,0.5299,1196.2920,23.0000,54.84,22.66,989.20,1.41,1.59
2024-02-12T10:23:35,46.57,706.66,23.85,1251.26,0.4972,1122.4041,23.0000,54.84,22.68,989.23,1.26,1.40
2024-02-12T10:23:40,46.55,706.55,23.89,1251.00,0.4732,1068.1856,24.0000,54.81,22.69,989.21,1.24,1.36
2024-02-12T10:23:46,46.43,705.89,23.94,1249.78,0.4530,1022.4420,24.0000,55.16,22.70,989.20,1.24,1.42
2024-02-12T10:23:51,47.05,711.72,23.97,1260.05,0.4388,990.4476,24.0000,55.43,22.71,989.19,1.20,1.35
2024-02-12T10:23:56,46.57,732.39,24.01,1296.63,0.4241,957.2604,24.0000,54.92,22.72,989.21,1.17,1.31
2024-02-12T10:24:02,46.26,760.39,24.02,1346.17,0.4127,931.4421,24.0000,54.71,22.72,989.19,1.21,1.36
2024-02-12T10:24:07,46.05,751.63,24.07,1330.63,0.4030,909.6104,24.0000,54.62,22.74,989.23,1.23,1.36
2024-02-12T10:24:12,45.98,749.84,24.08,1327.37,0.3958,893.3334,24.0000,54.55,22.75,989.21,1.23,1.36
2024-02-12T10:24:18,45.88,741.93,24.12,1313.35,0.3895,879.1181,24.0000,54.54,22.76,989.22,2.41,2.67
2024-02-12T10:24:23,45.78,733.38,24.15,1298.15,0.3832,864.6740,24.0000,54.46,22.77,989.20,2.16,2.36
2024-02-12T10:24:29,45.68,728.99,24.19,1290.35,0.3782,853.4013,24.0000,54.39,22.78,989.21,1.88,2.05
2024-02-12T10:24:34,45.59,722.81,24.22,1279.31,0.3735,842.7947,25.0000,54.32,22.79,989.17,1.58,1.72
2024-02-12T10:24:39,45.54,718.55,24.21,1271.76,0.3690,832.7537,24.0000,54.28,22.80,989.20,1.36,1.50
2024-02-12T10:24:45,45.48,714.18,24.25,1264.00,0.3657,825.0962,25.0000,54.29,22.81,989.22,1.25,1.38
2024-02-12T10:24:50,45.50,712.42,24.28,1260.88,0.3633,819.8480,25.0000,54.36,22.82,989.25,1.13,1.25
2024-02-12T10:24:55,45.45,708.94,24.33,1254.43,0.3611,814.5952,25.0000,54.35,22.84,989.08,0.98,1.08
2024-02-12T10:25:01,45.43,706.44,24.33,1250.08,0.3579,807.4258,25.0000,54.32,22.85,989.17,0.86,0.96
2024-02-12T10:25:06,45.35,705.21,24.36,1247.92,0.3555,801.9808,25.0000,54.31,22.86,989.22,0.91,1.01
2024-02-12T10:25:11,45.34,702.54,24.40,1243.15,0.3531,796.6539,25.0000,54.28,22.87,989.21,0.92,1.04
2024-02-12T10:25:17,45.25,700.99,24.42,1240.42,0.3507,791.2765,25.0000,54.25,22.87,989.23,0.84,0.94
2024-02-12T10:25:22,45.19,699.43,24.42,1237.56,0.3487,786.5122,25.0000,54.18,22.89,989.22,0.79,0.89
2024-02-12T10:25:28,45.09,697.73,24.44,1234.47,0.3465,781.5354,25.0000,54.13,22.90,989.19,0.71,0.80
2024-02-12T10:25:33,45.08,697.31,24.46,1233.75,0.3442,776.4845,25.0000,54.09,22.91,989.23,0.68,0.76
2024-02-12T10:25:38,45.01,695.46,24.49,1230.44,0.3426,772.8299,25.0000,54.07,22.92,989.24,0.77,0.86
