timestamp(UTC),NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_O3-O3,NetADC_O3-O3_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P3-PPM,NetPid_P3-PPB_ug,NetPid_P3-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-23T00:00:01,46.74,86.56,153.39,172.94,33.62,64.96,33.42,378.68,26.24,670.83,0.3,736.0,31.0,1.84,1.84,0.1393,314.5282,32.0000,39.95,24.48,995.71
2024-03-23T00:00:06,11.32,20.96,192.70,217.26,14.17,27.38,33.39,378.95,26.24,671.32,0.3,733.1,31.0,1.89,1.89,0.1393,314.5829,32.0000,39.95,24.48,995.72
2024-03-23T00:00:12,15.98,29.60,153.39,172.95,40.46,78.17,33.42,378.65,26.23,670.79,0.3,732.8,31.0,1.72,1.72,0.1393,314.6654,32.0000,39.95,24.48,995.74
2024-03-23T00:00:17,7.13,13.21,174.20,196.41,36.86,71.22,33.42,378.82,26.24,671.11,0.3,738.0,31.0,1.61,1.61,0.1393,314.6418,32.0000,39.95,24.47,995.73
2024-03-23T00:00:22,29.50,54.63,162.64,183.37,29.30,56.61,33.35,379.37,26.24,672.06,0.3,736.3,31.0,1.56,1.56,0.1393,314.5791,32.0000,39.95,24.47,995.70
2024-03-23T00:00:28,24.84,46.00,144.14,162.51,32.90,63.57,33.41,379.64,26.24,672.53,0.3,738.6,31.0,1.59,1.59,0.1393,314.5343,32.0000,39.95,24.48,995.72
2024-03-23T00:00:33,11.32,20.96,153.39,172.94,40.46,78.17,33.39,379.30,26.24,671.92,0.3,735.5,31.0,1.58,1.58,0.1392,314.4480,32.0000,39.94,24.48,995.71
2024-03-23T00:00:38,11.32,20.96,148.77,167.73,32.90,63.57,33.39,379.04,26.23,671.46,0.3,737.7,31.0,1.81,1.81,0.1393,314.5477,32.0000,39.94,24.48,995.72
2024-03-23T00:00:44,15.98,29.59,146.45,165.11,36.86,71.22,33.41,379.26,26.27,671.84,0.3,736.1,31.0,1.92,1.92,0.1393,314.5638,32.0000,39.94,24.48,995.69
2024-03-23T00:00:49,24.84,46.00,160.33,180.77,32.90,63.57,33.38,379.30,26.24,671.92,0.3,738.5,31.0,1.94,1.94,0.1393,314.5547,32.0000,39.95,24.48,995.72
2024-03-23T00:00:55,15.98,29.59,160.33,180.76,32.90,63.56,33.41,379.76,26.24,672.72,0.3,734.1,31.0,2.05,2.05,0.1393,314.5535,32.0000,39.94,24.49,995.72
2024-03-23T00:01:00,20.64,38.22,162.64,183.37,17.41,33.64,33.44,379.21,26.24,671.75,0.3,736.5,31.0,2.18,2.18,0.1392,314.4546,32.0000,39.94,24.49,995.73
2024-03-23T00:01:05,25.30,46.85,153.39,172.93,36.86,71.21,33.45,379.61,26.23,672.44,0.3,736.5,31.0,2.40,2.40,0.1393,314.4927,32.0000,39.95,24.49,995.70
2024-03-23T00:01:11,29.03,53.76,158.02,178.15,36.50,70.52,33.44,379.47,26.24,672.19,0.3,735.6,31.0,2.41,2.41,0.1392,314.4375,32.0000,39.94,24.49,995.71
2024-03-23T00:01:16,15.98,29.59,139.52,157.30,36.86,71.21,33.41,379.92,26.26,672.99,0.3,736.8,31.0,2.30,2.30,0.1392,314.3257,32.0000,39.94,24.49,995.70
2024-03-23T00:01:21,29.50,54.63,171.89,193.79,40.10,77.47,33.39,381.07,26.24,675.02,0.3,737.3,31.0,2.13,2.13,0.1392,314.3832,32.0000,39.92,24.49,995.69
2024-03-23T00:01:27,24.84,46.00,141.83,159.90,36.86,71.21,33.40,381.08,26.23,675.05,0.3,737.7,31.0,1.98,1.98,0.1392,314.3792,32.0000,39.92,24.49,995.69
2024-03-23T00:01:32,24.84,46.00,162.64,183.36,28.94,55.91,33.39,380.82,26.23,674.58,0.3,738.0,31.0,1.87,1.87,0.1392,314.3547,32.0000,39.92,24.49,995.70
2024-03-23T00:01:37,20.18,37.37,148.77,167.72,29.30,56.61,33.36,380.96,26.23,674.82,0.3,734.1,31.0,1.83,1.83,0.1392,314.3941,32.0000,39.92,24.50,995.70
2024-03-23T00:01:43,28.57,52.91,155.70,175.53,37.22,71.91,33.38,381.22,26.24,675.28,0.3,736.9,31.0,1.95,1.95,0.1392,314.3896,32.0000,39.92,24.49,995.68
2024-03-23T00:01:48,33.23,61.54,144.14,162.50,44.79,86.53,33.39,381.75,26.24,676.23,0.3,736.8,31.0,2.11,2.11,0.1392,314.2813,32.0000,39.92,24.49,995.68
2024-03-23T00:01:53,24.37,45.13,148.77,167.72,6.61,12.77,33.36,381.31,26.24,675.44,0.3,736.6,31.0,2.12,2.12,0.1391,314.2281,32.0000,39.92,24.49,995.68
2024-03-23T00:01:59,24.37,45.13,130.27,146.86,40.82,78.86,33.36,380.91,26.24,674.73,0.3,739.7,31.0,2.08,2.08,0.1392,314.3957,32.0000,39.91,24.50,995.70
2024-03-23T00:02:04,29.03,53.76,130.27,146.86,40.82,78.86,33.38,381.17,26.23,675.16,0.3,736.2,31.0,2.14,2.14,0.1392,314.3649,32.0000,39.92,24.50,995.66
2024-03-23T00:02:09,37.89,70.17,137.20,154.68,37.22,71.91,33.35,381.29,26.26,675.40,0.3,737.3,31.0,2.26,2.26,0.1392,314.4502,32.0000,39.91,24.50,995.70
2024-03-23T00:02:15,33.23,61.53,134.89,152.06,40.82,78.86,33.38,381.05,26.26,674.93,0.3,735.6,31.0,2.47,2.47,0.1392,314.3790,32.0000,39.91,24.51,995.67
2024-03-23T00:02:20,37.89,70.16,137.20,154.67,37.22,71.90,33.39,380.74,26.26,674.39,0.3,736.7,31.0,2.59,2.59,0.1392,314.4028,32.0000,39.91,24.51,995.68
2024-03-23T00:02:25,33.23,61.53,148.77,167.71,44.79,86.53,33.35,380.43,26.26,673.84,0.3,738.6,31.0,2.58,2.58,0.1392,314.2672,32.0000,39.91,24.51,995.69
2024-03-23T00:02:31,24.37,45.13,139.52,157.28,48.39,93.48,33.35,380.18,26.26,673.40,0.3,739.6,31.0,2.42,2.42,0.1392,314.3482,32.0000,39.90,24.51,995.68
2024-03-23T00:02:36,19.71,36.50,134.89,152.06,44.79,86.53,33.38,380.03,26.24,673.11,0.3,737.4,31.0,2.37,2.37,0.1392,314.3768,32.0000,39.90,24.51,995.66
2024-03-23T00:02:42,29.03,53.76,137.20,154.67,40.82,78.86,33.38,380.11,26.27,673.27,0.3,736.6,31.0,2.35,2.35,0.1392,314.2685,32.0000,39.89,24.51,995.68
