timestamp(UTC),NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_O3-O3,NetADC_O3-O3_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P3-PPM,NetPid_P3-PPB_ug,NetPid_P3-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-18T23:00:01,33.23,62.99,259.77,299.78,26.42,52.25,40.10,938.18,22.52,1701.13,0.3,768.9,28.0,1.10,1.10,0.1792,414.3269,29.0000,48.05,20.82,1006.63
2024-03-18T23:00:06,28.57,54.16,259.77,299.77,41.18,81.44,40.06,938.17,22.50,1701.08,0.3,769.3,28.0,1.13,1.13,0.1793,414.5384,29.0000,48.04,20.82,1006.61
2024-03-18T23:00:12,28.57,54.16,238.95,275.75,30.02,59.37,40.10,938.34,22.52,1701.38,0.3,771.3,28.0,1.21,1.21,0.1791,414.1004,29.0000,48.05,20.82,1006.61
2024-03-18T23:00:17,28.57,54.16,245.89,283.78,37.22,73.61,40.11,938.27,22.51,1701.39,0.3,770.3,28.0,1.42,1.42,0.1792,414.2868,29.0000,48.05,20.81,1006.65
2024-03-18T23:00:22,19.71,37.36,275.95,318.46,33.98,67.20,40.10,938.23,22.51,1701.25,0.3,772.7,28.0,1.39,1.39,0.1791,414.0439,29.0000,48.05,20.81,1006.62
2024-03-18T23:00:28,19.71,37.36,248.20,286.43,41.18,81.44,40.07,938.17,22.51,1701.10,0.3,769.7,28.0,1.31,1.31,0.1792,414.2749,29.0000,48.05,20.82,1006.63
2024-03-18T23:00:33,19.71,37.36,266.70,307.77,33.62,66.49,40.10,938.27,22.51,1701.27,0.3,769.6,28.0,1.31,1.31,0.1793,414.5182,29.0000,48.05,20.82,1006.62
2024-03-18T23:00:39,15.52,29.42,262.08,302.44,37.22,73.61,40.09,938.05,22.54,1700.89,0.3,769.8,28.0,1.19,1.19,0.1792,414.2980,29.0000,48.05,20.82,1006.63
2024-03-18T23:00:44,19.71,37.36,252.83,291.78,48.75,96.41,40.07,937.86,22.51,1700.61,0.3,770.1,28.0,1.07,1.07,0.1792,414.3222,29.0000,48.06,20.81,1006.63
2024-03-18T23:00:49,24.37,46.20,257.45,297.12,30.02,59.37,40.11,938.06,22.50,1701.02,0.3,769.5,28.0,0.98,0.98,0.1791,414.1267,29.0000,48.06,20.81,1006.66
2024-03-18T23:00:55,28.57,54.16,257.45,297.11,37.58,74.32,40.11,938.14,22.50,1701.11,0.3,770.6,28.0,0.99,0.99,0.1791,414.1096,29.0000,48.06,20.81,1006.63
2024-03-18T23:01:00,37.42,70.94,250.52,289.11,33.62,66.49,40.10,938.00,22.50,1700.84,0.3,769.4,28.0,0.95,0.95,0.1791,414.1308,29.0000,48.07,20.81,1006.62
2024-03-18T23:01:05,11.32,21.46,250.52,289.11,33.62,66.49,40.12,937.77,22.50,1700.43,0.3,768.0,28.0,0.96,0.96,0.1792,414.2192,29.0000,48.05,20.81,1006.63
2024-03-18T23:01:11,19.71,37.36,266.70,307.78,30.02,59.37,40.06,937.78,22.51,1700.41,0.3,770.4,28.0,0.91,0.91,0.1792,414.2821,29.0000,48.05,20.82,1006.63
2024-03-18T23:01:16,37.42,70.94,257.45,297.11,26.42,52.25,40.12,937.58,22.50,1700.08,0.3,769.2,28.0,0.82,0.82,0.1792,414.2580,29.0000,48.05,20.81,1006.62
2024-03-18T23:01:21,23.91,45.33,250.52,289.11,44.79,88.58,40.10,937.60,22.50,1700.10,0.3,769.7,28.0,0.92,0.92,0.1794,414.8069,29.0000,48.05,20.81,1006.62
2024-03-18T23:01:27,28.57,54.16,255.14,294.44,37.58,74.32,40.15,937.25,22.51,1699.47,0.3,769.8,28.0,1.11,1.11,0.1792,414.3487,29.0000,48.06,20.81,1006.61
2024-03-18T23:01:32,33.23,62.99,262.08,302.44,37.58,74.32,40.11,937.72,22.51,1700.30,0.3,769.6,28.0,1.18,1.18,0.1791,414.0853,29.0000,48.06,20.82,1006.63
2024-03-18T23:01:37,19.71,37.36,241.27,278.43,37.58,74.32,40.11,937.74,22.51,1700.33,0.3,771.3,28.0,1.24,1.24,0.1793,414.4079,29.0000,48.06,20.82,1006.63
2024-03-18T23:01:43,28.57,54.16,264.39,305.12,41.18,81.44,40.10,937.65,22.50,1700.24,0.3,770.1,28.0,1.22,1.22,0.1793,414.4070,29.0000,48.06,20.81,1006.63
2024-03-18T23:01:48,29.03,55.03,222.77,257.07,30.02,59.37,40.10,937.73,22.50,1700.28,0.3,772.4,28.0,1.20,1.20,0.1793,414.4370,29.0000,48.06,20.82,1006.60
2024-03-18T23:01:54,28.57,54.16,264.39,305.12,33.98,67.20,40.13,937.58,22.51,1700.10,0.3,768.8,28.0,1.27,1.27,0.1793,414.5873,29.0000,48.07,20.81,1006.63
2024-03-18T23:01:59,37.42,70.94,259.77,299.79,37.58,74.32,40.11,937.11,22.51,1699.24,0.3,769.0,28.0,1.25,1.25,0.1792,414.2262,29.0000,48.06,20.81,1006.63
2024-03-18T23:02:04,33.23,63.00,266.70,307.80,37.58,74.32,40.12,937.28,22.50,1699.60,0.3,767.4,28.0,1.15,1.15,0.1791,414.0842,29.0000,48.07,20.81,1006.66
2024-03-18T23:02:10,19.71,37.36,241.27,278.43,37.58,74.32,40.06,937.44,22.52,1699.82,0.3,771.1,28.0,1.19,1.19,0.1792,414.2674,29.0000,48.06,20.81,1006.61
2024-03-18T23:02:15,33.23,62.99,248.20,286.44,37.58,74.32,40.07,936.99,22.50,1699.02,0.3,770.9,28.0,1.19,1.19,0.1792,414.2136,29.0000,48.06,20.81,1006.63
2024-03-18T23:02:20,19.71,37.36,271.33,313.12,41.18,81.44,40.11,937.39,22.52,1699.67,0.3,769.1,28.0,1.11,1.11,0.1792,414.3181,29.0000,48.06,20.81,1006.58
2024-03-18T23:02:26,24.37,46.20,282.89,326.46,41.18,81.44,40.07,936.87,22.50,1698.79,0.3,767.2,28.0,1.10,1.10,0.1792,414.3514,29.0000,48.05,20.81,1006.61
2024-03-18T23:02:31,24.37,46.20,280.58,323.80,33.62,66.49,40.11,936.90,22.48,1698.83,0.3,770.9,28.0,1.08,1.08,0.1792,414.1772,29.0000,48.05,20.82,1006.64
2024-03-18T23:02:36,33.23,62.99,257.45,297.10,37.58,74.32,40.10,936.46,22.50,1697.98,0.3,767.6,28.0,1.05,1.05,0.1792,414.2670,29.0000,48.05,20.82,1006.61
2024-03-18T23:02:42,37.42,70.93,238.95,275.75,41.18,81.44,40.07,935.94,22.51,1697.07,0.3,769.2,28.0,0.98,0.98,0.1792,414.3171,29.0000,48.05,20.81,1006.60
2024-03-18T23:02:47,33.23,62.99,250.52,289.10,30.02,59.37,40.11,935.09,22.50,1695.49,0.3,770.8,28.0,1.01,1.01,0.1792,414.3520,29.0000,48.05,20.82,1006.61
2024-03-18T23:02:52,28.57,54.16,252.83,291.77,41.18,81.44,40.11,935.69,22.51,1696.60,0.3,768.7,28.0,1.03,1.03,0.1792,414.3625,29.0000,48.05,20.81,1006.59
2024-03-18T23:02:58,28.57,54.16,250.52,289.10,33.98,67.20,40.07,935.93,22.51,1697.05,0.3,770.3,28.0,1.07,1.07,0.1792,414.3261,29.0000,48.05,20.82,1006.63
2024-03-18T23:03:03,28.57,54.16,264.39,305.11,37.22,73.61,40.05,935.78,22.51,1696.74,0.3,770.4,28.0,1.04,1.04,0.1793,414.3756,29.0000,48.05,20.82,1006.61
2024-03-18T23:03:09,19.71,37.36,243.58,281.10,41.18,81.44,40.08,936.13,22.51,1697.42,0.3,773.2,28.0,1.09,1.09,0.1792,414.1573,28.0000,48.05,20.82,1006.63
2024-03-18T23:03:14,23.91,45.33,255.14,294.44,37.22,73.61,40.09,936.19,22.52,1697.57,0.3,771.9,28.0,1.08,1.08,0.1791,414.0533,29.0000,48.05,20.81,1006.62
2024-03-18T23:03:19,24.37,46.20,245.89,283.76,37.58,74.32,40.13,936.51,22.51,1698.10,0.3,767.3,28.0,1.02,1.02,0.1792,414.3140,28.0000,48.05,20.82,1006.63
2024-03-18T23:03:25,28.57,54.16,257.45,297.11,30.02,59.37,40.08,936.46,22.51,1698.04,0.3,767.4,28.0,0.95,0.95,0.1791,414.0952,29.0000,48.04,20.82,1006.65
2024-03-18T23:03:30,19.71,37.36,245.89,283.76,30.02,59.37,40.10,936.53,22.50,1698.11,0.3,768.9,28.0,0.95,0.95,0.1791,414.0204,29.0000,48.05,20.82,1006.61
2024-03-18T23:03:35,37.42,70.93,248.20,286.42,30.02,59.37,40.08,936.61,22.50,1698.26,0.3,771.7,28.0,1.09,1.09,0.1791,414.0384,29.0000,48.05,20.81,1006.58
2024-03-18T23:03:41,28.57,54.16,259.77,299.78,37.58,74.32,40.05,937.12,22.52,1699.23,0.3,770.8,28.0,1.18,1.18,0.1793,414.4482,29.0000,48.05,20.81,1006.60
2024-03-18T23:03:46,24.37,46.20,280.58,323.80,30.02,59.37,40.10,937.25,22.51,1699.46,0.3,770.9,28.0,1.22,1.22,0.1792,414.2691,29.0000,48.05,20.82,1006.65
2024-03-18T23:03:51,28.57,54.16,255.14,294.44,41.54,82.15,40.08,937.13,22.52,1699.26,0.3,770.9,28.0,1.14,1.14,0.1792,414.2002,29.0000,48.05,20.81,1006.62
2024-03-18T23:03:57,37.89,71.83,275.95,318.46,33.98,67.20,40.06,936.96,22.48,1698.96,0.3,770.7,28.0,1.01,1.01,0.1792,414.1826,29.0000,48.05,20.81,1006.63
2024-03-18T23:04:02,28.57,54.16,248.20,286.43,41.54,82.15,40.08,936.46,22.51,1698.02,0.3,772.6,28.0,2.05,2.05,0.1792,414.3154,29.0000,48.05,20.81,1006.60
2024-03-18T23:04:07,19.71,37.36,248.20,286.43,30.02,59.37,40.08,936.64,22.52,1698.38,0.3,770.2,28.0,2.05,2.05,0.1791,414.0791,29.0000,48.05,20.81,1006.62
2024-03-18T23:04:13,19.71,37.36,245.89,283.77,37.58,74.32,40.06,937.15,22.51,1699.33,0.3,768.9,28.0,1.92,1.92,0.1793,414.5290,29.0000,48.05,20.81,1006.64
2024-03-18T23:04:18,19.71,37.36,271.33,313.12,30.02,59.37,40.08,937.42,22.52,1699.78,0.3,770.2,28.0,1.70,1.70,0.1791,414.0514,29.0000,48.06,20.82,1006.64
2024-03-18T23:04:24,28.57,54.16,264.39,305.11,37.58,74.32,40.07,937.13,22.51,1699.24,0.3,770.1,28.0,1.43,1.43,0.1792,414.2884,29.0000,48.05,20.81,1006.61
2024-03-18T23:04:29,24.37,46.20,245.89,283.78,45.15,89.29,40.06,936.89,22.52,1698.88,0.3,770.5,28.0,1.37,1.37,0.1792,414.1812,29.0000,48.04,20.80,1006.61
2024-03-18T23:04:34,28.57,54.16,275.95,318.46,33.62,66.49,40.10,937.12,22.51,1699.28,0.3,770.4,28.0,1.26,1.26,0.1791,414.1641,29.0000,48.05,20.81,1006.64
2024-03-18T23:04:40,15.52,29.42,264.39,305.13,37.58,74.32,40.06,936.53,22.51,1698.22,0.3,767.8,28.0,1.18,1.18,0.1791,414.0436,29.0000,48.05,20.81,1006.64
2024-03-18T23:04:45,19.71,37.36,264.39,305.12,30.02,59.37,40.10,936.28,22.51,1697.75,0.3,770.6,28.0,1.07,1.07,0.1791,414.1541,29.0000,48.06,20.81,1006.64
2024-03-18T23:04:50,33.23,63.00,250.52,289.12,37.58,74.32,40.09,935.83,22.54,1696.96,0.3,769.2,28.0,1.10,1.10,0.1792,414.2044,29.0000,48.05,20.81,1006.65
2024-03-18T23:04:56,19.71,37.36,264.39,305.11,26.42,52.25,40.10,935.82,22.52,1696.83,0.3,770.2,28.0,1.00,1.00,0.1791,414.0329,29.0000,48.05,20.82,1006.61
2024-03-18T23:05:01,24.37,46.20,275.95,318.47,41.54,82.16,40.07,935.53,22.51,1696.45,0.3,769.6,28.0,1.04,1.04,0.1790,413.8685,29.0000,48.05,20.81,1006.67
2024-03-18T23:05:06,19.71,37.36,262.08,302.45,33.62,66.49,40.06,935.19,22.52,1695.73,0.3,772.0,28.0,1.14,1.14,0.1792,414.2425,29.0000,48.05,20.82,1006.64
2024-03-18T23:05:12,19.71,37.36,250.52,289.11,37.58,74.32,40.06,935.44,22.51,1696.18,0.3,770.9,28.0,1.18,1.18,0.1792,414.2493,29.0000,48.06,20.81,1006.61
2024-03-18T23:05:17,10.86,20.59,266.70,307.78,33.62,66.49,40.10,935.54,22.51,1696.37,0.3,768.7,28.0,1.19,1.19,0.1790,413.8707,29.0000,48.05,20.81,1006.60
2024-03-18T23:05:23,28.57,54.16,273.64,315.79,30.02,59.37,40.06,935.48,22.51,1696.27,0.3,767.9,28.0,1.19,1.19,0.1790,413.9140,29.0000,48.05,20.81,1006.62
2024-03-18T23:05:28,19.71,37.36,252.83,291.78,37.58,74.32,40.10,935.49,22.48,1696.32,0.3,771.2,28.0,1.26,1.26,0.1791,413.9527,29.0000,48.05,20.81,1006.63
2024-03-18T23:05:33,19.71,37.36,248.20,286.43,37.58,74.32,40.08,935.23,22.50,1695.83,0.3,769.5,28.0,1.45,1.45,0.1791,414.1159,29.0000,48.05,20.81,1006.62
2024-03-18T23:05:39,19.71,37.36,255.14,294.45,33.62,66.49,40.06,934.85,22.51,1695.15,0.3,769.9,28.0,1.41,1.41,0.1793,414.4440,29.0000,48.05,20.81,1006.63
2024-03-18T23:05:44,28.57,54.16,259.77,299.79,48.75,96.41,40.08,934.61,22.48,1694.72,0.3,770.1,28.0,1.28,1.28,0.1791,414.0194,29.0000,48.06,20.81,1006.63
2024-03-18T23:05:49,19.71,37.36,264.39,305.12,44.79,88.58,40.14,934.62,22.48,1694.73,0.3,772.1,28.0,1.10,1.10,0.1791,414.1053,29.0000,48.06,20.81,1006.63
2024-03-18T23:05:55,19.71,37.36,243.58,281.10,26.42,52.25,40.10,934.21,22.50,1693.97,0.3,771.1,28.0,0.96,0.96,0.1791,414.0605,29.0000,48.05,20.81,1006.62
2024-03-18T23:06:00,33.23,62.99,262.08,302.46,37.58,74.32,40.08,934.53,22.50,1694.58,0.3,770.4,28.0,0.88,0.88,0.1792,414.2749,29.0000,48.05,20.81,1006.64
2024-03-18T23:06:06,19.71,37.36,248.20,286.42,30.02,59.37,40.11,934.92,22.51,1695.18,0.3,771.1,28.0,0.91,0.91,0.1790,413.8118,28.0000,48.06,20.81,1006.58
2024-03-18T23:06:11,28.57,54.16,271.33,313.13,30.02,59.37,40.10,935.57,22.51,1696.45,0.3,770.2,28.0,0.99,0.99,0.1792,414.1908,29.0000,48.05,20.80,1006.59
2024-03-18T23:06:16,33.23,63.00,255.14,294.45,41.18,81.44,40.11,935.56,22.50,1696.47,0.3,770.4,28.0,1.05,1.05,0.1791,414.0610,29.0000,48.05,20.81,1006.65
2024-03-18T23:06:22,19.71,37.36,273.64,315.80,37.58,74.32,40.11,936.30,22.48,1697.80,0.3,768.0,28.0,1.04,1.04,0.1791,413.9937,29.0000,48.05,20.80,1006.60
2024-03-18T23:06:27,19.71,37.36,252.83,291.78,33.62,66.49,40.07,936.65,22.50,1698.44,0.3,769.2,28.0,0.99,0.99,0.1790,413.8621,29.0000,48.05,20.80,1006.61
2024-03-18T23:06:32,19.71,37.36,255.14,294.45,30.02,59.37,40.08,936.23,22.50,1697.69,0.3,766.3,28.0,0.90,0.90,0.1791,414.0208,29.0000,48.05,20.80,1006.62
2024-03-18T23:06:38,24.37,46.20,255.14,294.45,37.58,74.32,40.07,936.38,22.48,1697.93,0.3,768.7,28.0,0.91,0.91,0.1791,414.1220,29.0000,48.06,20.81,1006.63
