timestamp(UTC),NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_O3-O3,NetADC_O3-O3_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P3-PPM,NetPid_P3-PPB_ug,NetPid_P3-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-26T23:00:03,28.57,52.02,167.27,185.40,48.39,91.91,23.81,361.99,25.41,630.42,0.3,722.5,30.0,1.81,1.81,0.1285,285.3455,31.0000,28.70,24.02,977.37
2024-03-26T23:00:09,33.23,60.50,151.08,167.46,55.95,106.28,23.87,362.04,25.42,630.53,0.3,721.6,30.0,1.66,1.66,0.1286,285.4485,31.0000,28.70,24.02,977.39
2024-03-26T23:00:14,28.57,52.02,130.27,144.40,48.39,91.92,23.86,361.75,25.44,630.04,0.3,722.0,31.0,1.55,1.55,0.1285,285.4165,31.0000,28.70,24.02,977.41
2024-03-26T23:00:19,46.74,85.10,160.33,177.72,48.39,91.92,23.87,361.78,25.41,630.08,0.3,722.2,31.0,1.53,1.53,0.1285,285.4006,31.0000,28.70,24.02,977.40
2024-03-26T23:00:25,28.57,52.02,146.45,162.34,48.39,91.92,23.87,361.37,25.40,629.39,0.3,720.8,31.0,1.52,1.52,0.1286,285.5188,31.0000,28.70,24.01,977.41
2024-03-26T23:00:30,33.23,60.51,134.89,149.52,52.35,99.44,23.84,360.88,25.42,628.53,0.3,721.9,31.0,1.73,1.73,0.1286,285.4663,31.0000,28.71,24.01,977.41
2024-03-26T23:00:35,46.74,85.10,111.77,123.89,44.79,85.08,23.90,360.58,25.42,627.98,0.3,721.2,31.0,1.88,1.88,0.1286,285.4604,31.0000,28.72,24.01,977.36
2024-03-26T23:00:41,37.89,68.99,121.02,134.15,40.82,77.54,23.89,360.59,25.40,628.02,0.3,720.2,31.0,1.91,1.91,0.1286,285.4541,31.0000,28.70,24.01,977.40
2024-03-26T23:00:46,33.23,60.51,139.52,154.66,40.82,77.54,23.86,360.73,25.42,628.28,0.3,721.8,30.0,1.87,1.87,0.1286,285.5439,31.0000,28.71,24.01,977.41
2024-03-26T23:00:51,37.89,68.99,118.70,131.58,40.82,77.54,23.84,361.42,25.40,629.49,0.3,722.2,31.0,1.84,1.84,0.1285,285.4083,31.0000,28.71,24.01,977.41
2024-03-26T23:00:57,33.23,60.51,151.08,167.47,48.39,91.92,23.86,361.13,25.44,628.97,0.3,719.9,31.0,1.76,1.76,0.1285,285.4156,31.0000,28.71,24.01,977.41
2024-03-26T23:01:02,33.23,60.51,148.77,164.91,55.95,106.28,23.86,361.22,25.41,629.11,0.3,722.0,30.0,1.61,1.61,0.1286,285.5163,31.0000,28.70,24.01,977.39
2024-03-26T23:01:08,29.03,52.86,151.08,167.47,37.22,70.70,23.83,361.75,25.42,630.05,0.3,726.6,31.0,1.37,1.37,0.1286,285.5858,31.0000,28.71,24.01,977.40
2024-03-26T23:01:13,37.89,68.99,139.52,154.65,55.95,106.28,23.92,362.44,25.45,631.22,0.3,720.9,31.0,1.32,1.32,0.1286,285.5409,31.0000,28.71,24.01,977.36
2024-03-26T23:01:18,28.57,52.02,125.64,139.27,48.39,91.92,23.86,362.57,25.40,631.47,0.3,721.2,31.0,1.37,1.37,0.1286,285.5001,31.0000,28.71,24.01,977.39
2024-03-26T23:01:24,19.71,35.89,114.08,126.46,51.99,98.76,23.84,362.50,25.42,631.36,0.3,720.8,30.0,1.40,1.40,0.1286,285.5907,31.0000,28.70,24.00,977.37
2024-03-26T23:01:29,33.23,60.51,118.70,131.58,48.39,91.92,23.82,362.70,25.44,631.71,0.3,722.2,31.0,1.38,1.38,0.1286,285.5959,31.0000,28.71,24.00,977.37
2024-03-26T23:01:34,33.23,60.51,125.64,139.27,51.99,98.76,23.83,363.29,25.38,632.75,0.3,721.6,31.0,1.50,1.50,0.1286,285.6357,31.0000,28.70,24.00,977.38
2024-03-26T23:01:40,33.23,60.51,134.89,149.52,40.82,77.54,23.86,363.38,25.40,632.88,0.3,721.5,31.0,1.65,1.65,0.1285,285.3800,31.0000,28.70,24.01,977.39
2024-03-26T23:01:45,28.57,52.02,158.02,175.16,59.55,113.12,23.79,364.25,25.41,634.38,0.3,724.0,31.0,1.72,1.72,0.1286,285.4640,31.0000,28.71,24.01,977.38
2024-03-26T23:01:50,24.37,44.37,141.83,157.21,44.43,84.39,23.86,364.39,25.42,634.62,0.3,724.0,31.0,1.83,1.83,0.1286,285.4420,31.0000,28.71,24.01,977.37
2024-03-26T23:01:56,33.23,60.51,125.64,139.27,55.95,106.28,23.87,364.34,25.40,634.56,0.3,720.3,30.0,1.96,1.96,0.1285,285.4220,31.0000,28.71,24.00,977.36
2024-03-26T23:02:01,28.57,52.02,111.77,123.89,40.82,77.54,23.87,363.85,25.38,633.67,0.3,718.6,31.0,1.96,1.96,0.1285,285.3717,31.0000,28.70,24.02,977.38
2024-03-26T23:02:07,28.57,52.02,167.27,185.41,48.39,91.92,23.89,364.05,25.40,634.04,0.3,723.0,31.0,1.83,1.83,0.1286,285.4578,31.0000,28.70,24.01,977.38
2024-03-26T23:02:12,37.89,68.99,141.83,157.21,40.82,77.54,23.86,363.90,25.42,633.76,0.3,722.2,30.0,1.76,1.76,0.1285,285.3699,31.0000,28.70,24.01,977.34
2024-03-26T23:02:17,28.57,52.02,146.45,162.33,48.39,91.91,23.86,363.95,25.41,633.84,0.3,721.0,31.0,1.61,1.61,0.1285,285.2298,31.0000,28.70,24.01,977.33
2024-03-26T23:02:23,29.03,52.86,127.95,141.83,44.79,85.08,23.87,363.96,25.40,633.88,0.3,720.4,31.0,1.71,1.71,0.1285,285.4147,31.0000,28.69,24.01,977.38
2024-03-26T23:02:28,37.89,68.99,134.89,149.51,48.39,91.91,23.81,363.82,25.41,633.62,0.3,720.6,31.0,1.81,1.81,0.1285,285.2914,31.0000,28.69,24.02,977.37
2024-03-26T23:02:33,33.23,60.50,151.08,167.46,48.39,91.91,23.84,364.10,25.41,634.09,0.3,717.3,30.0,1.82,1.82,0.1285,285.4193,31.0000,28.70,24.02,977.37
2024-03-26T23:02:39,19.71,35.89,153.39,170.02,44.79,85.07,23.83,363.61,25.41,633.24,0.3,722.5,31.0,1.61,1.61,0.1285,285.3060,31.0000,28.69,24.02,977.35
2024-03-26T23:02:44,28.57,52.02,132.58,146.96,44.79,85.08,23.87,363.60,25.42,633.25,0.3,721.2,31.0,1.67,1.67,0.1285,285.2684,31.0000,28.68,24.02,977.40
2024-03-26T23:02:49,33.23,60.50,139.52,154.64,52.35,99.44,23.84,363.65,25.38,633.31,0.3,719.0,31.0,1.67,1.67,0.1285,285.3924,31.0000,28.68,24.02,977.37
2024-03-26T23:02:55,24.37,44.37,125.64,139.26,48.39,91.92,23.83,363.45,25.40,632.98,0.3,721.4,30.0,1.77,1.77,0.1286,285.4770,31.0000,28.68,24.02,977.38
2024-03-26T23:03:00,37.89,68.99,139.52,154.65,51.99,98.75,23.84,363.72,25.40,633.45,0.3,721.7,31.0,1.87,1.87,0.1285,285.3417,31.0000,28.67,24.01,977.34
2024-03-26T23:03:05,24.37,44.37,132.58,146.95,40.82,77.54,23.84,364.00,25.41,633.93,0.3,721.9,31.0,1.79,1.79,0.1285,285.3279,31.0000,28.68,24.01,977.34
2024-03-26T23:03:11,33.23,60.50,158.02,175.15,44.43,84.39,23.83,363.67,25.38,633.37,0.3,722.7,31.0,1.63,1.63,0.1285,285.4003,31.0000,28.68,24.02,977.39
2024-03-26T23:03:16,28.57,52.02,148.77,164.89,44.79,85.07,23.86,363.71,25.40,633.41,0.3,723.8,31.0,1.60,1.60,0.1285,285.3346,31.0000,28.67,24.02,977.34
2024-03-26T23:03:22,23.91,43.53,164.95,182.83,48.39,91.91,23.87,364.60,25.41,634.97,0.3,721.4,30.0,1.59,1.59,0.1286,285.4444,31.0000,28.67,24.02,977.37
2024-03-26T23:03:27,46.74,85.10,125.64,139.26,48.39,91.91,23.84,364.86,25.44,635.41,0.3,719.8,30.0,1.72,1.72,0.1285,285.3082,31.0000,28.67,24.02,977.35
2024-03-26T23:03:32,37.42,68.13,130.27,144.39,44.79,85.08,23.89,364.88,25.42,635.45,0.3,719.2,31.0,1.72,1.72,0.1285,285.3450,31.0000,28.67,24.02,977.37
2024-03-26T23:03:38,24.37,44.37,137.20,152.07,48.39,91.91,23.81,365.48,25.41,636.46,0.3,720.3,31.0,1.69,1.69,0.1285,285.2283,31.0000,28.66,24.02,977.32
2024-03-26T23:03:43,33.23,60.50,130.27,144.39,48.39,91.92,23.83,365.76,25.40,637.00,0.3,720.8,31.0,1.67,1.67,0.1285,285.3672,31.0000,28.66,24.01,977.36
2024-03-26T23:03:48,29.03,52.85,123.33,136.70,48.39,91.91,23.83,366.53,25.42,638.34,0.3,722.1,31.0,1.90,1.90,0.1285,285.3688,31.0000,28.67,24.02,977.37
2024-03-26T23:03:54,42.08,76.61,134.89,149.51,51.99,98.75,23.84,366.48,25.41,638.22,0.3,722.2,31.0,2.12,2.12,0.1285,285.3198,31.0000,28.67,24.02,977.33
2024-03-26T23:03:59,33.23,60.50,130.27,144.39,51.99,98.75,23.83,366.25,25.41,637.84,0.3,719.6,31.0,2.18,2.18,0.1285,285.3268,31.0000,28.68,24.02,977.37
2024-03-26T23:04:05,42.08,76.62,130.27,144.39,55.59,105.59,23.84,366.39,25.38,638.10,0.3,721.7,31.0,2.20,2.20,0.1285,285.2671,31.0000,28.67,24.01,977.35
2024-03-26T23:04:10,33.23,60.50,139.52,154.64,48.39,91.91,23.83,366.18,25.38,637.71,0.3,719.7,31.0,1.94,1.94,0.1285,285.3621,31.0000,28.67,24.02,977.36
2024-03-26T23:04:15,33.23,60.50,141.83,157.20,44.43,84.39,23.88,365.69,25.38,636.86,0.3,719.6,30.0,1.75,1.75,0.1285,285.2805,31.0000,28.67,24.02,977.37
