Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330173703
Firmware Version,1.4
Calibration Date,2021/08/11
Protocol Name_Number,ed-10s-2d_102
Test Start Time,08:11:31
Test Start Date,2024/02/15
Test Length [D:H:M:S],0:7:37:20
Sample Interval [H:M:S],0:0:10
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.070
DeadTime Correction Factor,1.000
Errors,
Number of Samples,2744
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
10,500,101,27,5,3,2,0,0,2,0,1,0,1,0,0,0,0,0.003920,34.962,0.000,100.597,,,
20,511,110,24,11,7,2,0,1,1,0,0,0,0,0,0,0,0,0.004110,34.962,0.000,100.601,,,
30,501,101,32,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0.003971,34.962,0.000,100.607,,,
40,526,96,19,7,2,2,2,0,0,0,0,1,0,0,0,1,0,0.003956,34.962,0.000,100.601,,,
50,499,85,29,4,4,3,0,0,1,0,1,0,0,0,0,0,0,0.003779,34.962,0.000,100.601,,,
60,511,113,24,9,2,1,0,0,0,0,0,1,0,0,0,0,0,0.004060,34.962,0.000,100.604,,,
70,548,132,24,10,6,4,2,0,0,0,0,0,0,0,0,0,0,0.004471,34.962,0.000,100.601,,,
80,478,101,26,6,7,3,2,0,1,0,1,0,0,0,0,0,0,0.003861,34.962,0.000,100.597,,,
90,521,109,26,6,4,2,1,0,1,0,0,0,0,0,0,0,0,0.004051,34.962,0.000,100.604,,,
100,445,96,27,4,4,0,2,2,1,2,1,0,0,0,0,0,0,0.003572,34.962,0.000,100.601,,,
110,487,93,24,7,4,0,1,2,1,0,0,0,0,0,0,0,0,0.003756,34.962,0.000,100.601,,,
120,518,130,33,8,4,2,1,0,0,1,1,0,1,0,0,0,0,0.004269,34.962,0.000,100.604,,,
130,531,131,23,6,5,3,2,2,1,1,0,0,0,0,0,0,0,0.004312,34.962,0.000,100.601,,,
140,500,107,25,6,4,0,1,3,3,0,0,1,1,0,0,0,1,0.004049,34.962,0.000,100.601,,,
150,491,117,22,5,7,2,1,1,0,1,1,0,1,0,0,0,0,0.004005,34.962,0.000,100.597,,,
160,476,116,32,4,4,4,0,0,0,1,1,0,0,0,0,0,0,0.003932,34.962,0.000,100.597,,,
170,531,106,27,4,2,2,0,2,0,0,0,0,0,0,2,0,0,0.004103,34.962,0.000,100.597,,,
180,484,113,20,7,3,5,1,1,0,1,2,0,0,0,0,0,0,0.003834,34.962,0.000,100.594,,,
190,492,88,15,2,4,2,0,2,0,0,0,0,1,0,0,0,0,0.003638,34.962,0.000,100.601,,,
200,486,110,19,3,5,4,1,0,1,1,0,0,0,0,0,0,0,0.003805,34.962,0.000,100.601,,,
210,504,107,26,6,3,1,3,2,0,0,0,0,0,0,0,0,0,0.003983,34.962,0.000,100.604,,,
220,510,109,32,7,5,1,2,1,0,0,0,0,0,0,0,0,0,0.004060,34.962,0.000,100.604,,,
230,529,127,24,10,8,4,0,2,1,0,0,0,0,0,0,0,0,0.004355,34.962,0.000,100.601,,,
240,444,104,23,7,2,1,0,1,1,1,0,0,0,0,0,1,0,0.003624,34.962,0.000,100.591,,,
250,506,109,20,12,4,2,2,3,1,0,1,0,0,0,0,0,0,0.004008,34.962,0.000,100.610,,,
260,486,104,24,4,1,4,1,2,1,0,0,1,1,0,0,0,0,0.003842,34.962,0.000,100.594,,,
270,510,93,31,3,6,5,0,0,1,0,1,0,1,0,0,0,0,0.003956,34.962,0.000,100.607,,,
280,529,119,29,7,7,3,0,2,0,0,1,0,0,0,0,0,0,0.004310,34.962,0.000,100.597,,,
290,519,107,35,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0.004056,34.962,0.000,100.613,,,
300,490,121,28,11,4,3,1,2,1,0,0,0,0,0,1,0,0,0.004141,34.962,0.000,100.607,,,
310,516,118,24,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0.003969,34.962,0.000,100.594,,,
320,552,113,30,8,3,2,1,2,1,1,1,0,1,0,0,0,0,0.004454,34.962,0.000,100.607,,,
330,498,112,28,5,1,0,1,2,1,0,0,0,0,0,0,0,0,0.003928,34.962,0.000,100.601,,,
340,500,86,15,9,5,2,3,1,0,0,0,0,0,0,0,0,0,0.003714,34.962,0.000,100.601,,,
350,498,121,23,8,6,1,0,1,1,0,0,0,0,0,0,0,0,0.004013,34.962,0.000,100.613,,,
360,499,108,17,8,3,2,2,0,3,1,0,0,1,0,0,0,0,0.003918,34.962,0.000,100.613,,,
370,472,104,29,6,3,1,2,1,1,2,1,0,0,0,1,0,0,0.003819,34.962,0.000,100.607,,,
380,525,119,20,7,7,1,1,1,0,0,0,0,0,0,0,0,0,0.004185,34.958,0.000,100.597,,,
390,515,120,24,4,6,2,1,2,1,1,0,0,0,0,0,0,0,0.004118,34.958,0.000,100.601,,,
400,503,112,18,4,4,2,0,2,1,0,1,0,0,0,0,0,0,0.003920,34.962,0.000,100.601,,,
410,512,109,24,8,7,1,1,0,1,1,0,0,1,0,0,0,0,0.004102,34.962,0.000,100.601,,,
420,536,121,27,7,4,1,0,2,1,0,0,0,0,0,0,1,0,0.004277,34.962,0.000,100.597,,,
430,462,111,20,5,6,1,2,4,0,0,0,0,0,1,0,0,0,0.003726,34.962,0.000,100.594,,,
440,460,99,20,7,2,2,0,1,1,0,0,0,0,0,0,0,0,0.003622,34.962,0.000,100.594,,,
450,479,105,20,9,5,0,3,3,0,1,0,0,0,0,1,0,0,0.003834,34.962,0.000,100.601,,,
460,508,116,29,4,5,0,2,1,0,1,0,0,0,0,0,0,0,0.004047,34.962,0.000,100.601,,,
470,468,89,30,11,8,1,0,2,0,0,1,0,0,0,0,0,0,0.003727,34.962,0.000,100.604,,,
480,471,102,12,6,4,2,1,2,1,0,0,1,0,0,0,0,0,0.003627,34.954,0.000,100.597,,,
490,465,91,20,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0.003555,34.931,0.000,100.601,,,
500,501,110,21,8,5,2,1,1,1,0,1,1,0,0,1,0,0,0.004051,34.923,0.000,100.601,,,
510,481,96,26,5,2,3,2,3,0,0,1,0,0,0,0,0,0,0.003739,34.923,0.000,100.604,,,
520,467,92,29,9,4,6,2,1,0,0,0,2,1,0,0,0,0,0.003793,34.923,0.000,100.597,,,
530,457,117,22,8,3,1,3,2,1,0,0,0,0,0,0,0,0,0.003764,34.923,0.000,100.597,,,
540,469,122,20,6,3,3,0,1,1,1,0,0,0,0,0,0,0,0.003881,34.923,0.000,100.597,,,
550,462,98,21,6,1,2,2,2,1,1,0,1,0,0,0,0,0,0.003658,34.923,0.000,100.601,,,
560,477,97,20,4,5,3,1,1,0,0,0,1,0,0,0,0,0,0.003680,34.923,0.000,100.601,,,
570,434,87,23,3,2,1,3,1,0,0,0,1,0,0,0,0,0,0.003387,34.923,0.000,100.601,,,
580,445,118,26,12,7,3,2,3,0,0,0,0,0,0,0,0,0,0.003832,34.923,0.000,100.594,,,
590,424,120,16,7,3,0,3,2,0,1,0,0,0,0,0,0,0,0.003551,34.923,0.000,100.601,,,
600,438,108,15,6,2,1,1,2,1,0,0,0,1,0,0,0,0,0.003485,34.923,0.000,100.594,,,
610,465,117,27,4,9,1,1,0,0,0,2,0,0,0,0,0,0,0.003844,34.923,0.000,100.597,,,
620,456,127,15,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0.003798,34.923,0.000,100.594,,,
630,436,90,19,12,12,3,1,0,2,0,1,0,0,0,0,0,0,0.003487,34.923,0.000,100.591,,,
640,427,85,21,7,3,2,1,5,1,1,1,0,0,0,0,0,0,0.003454,34.923,0.000,100.597,,,
650,438,98,23,5,6,2,0,5,0,0,0,0,0,0,0,0,0,0.003482,34.923,0.000,100.591,,,
660,465,109,24,11,4,3,1,3,0,1,0,0,0,0,0,0,0,0.003854,34.923,0.000,100.594,,,
670,413,102,25,12,7,0,2,4,0,0,0,0,0,0,0,0,0,0.003456,34.923,0.000,100.591,,,
680,432,108,28,4,6,1,0,0,1,1,0,0,0,0,0,0,0,0.003585,34.923,0.000,100.591,,,
690,438,97,18,7,1,3,3,2,0,0,0,0,0,0,0,0,0,0.003499,34.923,0.000,100.597,,,
700,438,99,19,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0.003473,34.923,0.000,100.591,,,
710,401,124,26,5,6,1,2,3,0,0,0,0,0,0,0,0,0,0.003541,34.927,0.000,100.594,,,
720,479,78,25,6,1,2,0,4,1,1,0,0,0,0,0,0,0,0.003674,34.931,0.000,100.597,,,
730,404,94,34,12,3,3,1,3,0,0,0,1,0,0,0,0,0,0.003439,34.923,0.000,100.591,,,
740,439,99,16,10,1,3,2,2,0,0,1,0,0,0,0,0,0,0.003471,34.923,0.000,100.591,,,
750,399,104,19,6,4,3,3,2,0,2,1,0,0,0,0,0,0,0.003348,34.923,0.000,100.601,,,
760,411,94,21,3,3,8,2,3,0,0,0,0,0,0,0,0,0,0.003399,34.927,0.000,100.597,,,
770,384,92,35,2,3,3,2,4,2,0,0,0,0,0,0,0,0,0.003274,34.935,0.000,100.594,,,
780,423,100,35,4,3,4,0,1,0,0,1,0,0,0,0,0,0,0.003531,34.931,0.000,100.601,,,
790,402,98,30,10,6,6,4,1,0,0,0,0,0,0,0,0,0,0.003526,34.931,0.000,100.594,,,
800,380,105,24,5,3,1,5,1,0,0,2,0,0,0,0,0,0,0.003313,34.938,0.000,100.591,,,
810,384,111,28,5,4,3,2,2,0,1,0,0,0,0,0,0,0,0.003356,34.935,0.000,100.597,,,
820,378,91,23,7,1,1,2,0,0,0,0,0,1,0,0,0,0,0.003093,34.950,0.000,100.604,,,
830,434,91,19,12,1,5,1,0,3,0,0,0,0,0,0,0,0,0.003414,34.954,0.000,100.597,,,
840,375,95,18,8,3,3,0,4,2,0,0,0,0,0,0,0,0,0.003143,34.950,0.000,100.597,,,
850,408,88,15,6,1,2,2,2,1,1,0,0,0,0,1,0,0,0.003210,34.954,0.000,100.601,,,
860,382,91,19,5,1,6,1,1,0,0,0,0,0,0,0,0,0,0.003122,34.958,0.000,100.597,,,
870,369,91,30,6,3,2,2,2,0,0,0,0,0,0,0,0,0,0.003153,34.962,0.000,100.601,,,
880,396,72,13,5,3,2,3,1,4,1,1,0,0,0,0,0,0,0.003047,34.954,0.000,100.591,,,
890,350,105,30,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0.003100,34.962,0.000,100.604,,,
900,345,77,18,8,5,3,4,1,0,0,0,0,0,0,0,0,0,0.002900,34.962,0.000,100.597,,,
910,342,71,24,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0.002748,34.962,0.000,100.601,,,
