Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330173703
Firmware Version,1.4
Calibration Date,2021/08/11
Protocol Name_Number,ed-new_103
Test Start Time,09:29:28
Test Start Date,2024/02/16
Test Length [D:H:M:S],0:5:48:10
Sample Interval [H:M:S],0:0:10
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.070
DeadTime Correction Factor,1.000
Errors,
Number of Samples,2089
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
10,683,199,65,24,15,14,9,12,5,6,0,3,6,0,2,2,2,0.006983,26.817,0.000,100.129,,,
20,769,243,75,29,13,15,10,14,5,7,6,2,7,0,2,0,0,0.008090,26.883,0.000,100.123,,,
30,812,213,75,22,13,11,8,7,7,4,7,6,3,1,1,0,2,0.007995,26.898,0.000,100.126,,,
40,770,217,77,19,20,21,13,10,14,2,5,6,4,2,2,1,1,0.008073,26.914,0.000,100.123,,,
50,772,255,75,29,16,16,10,8,5,6,6,5,3,1,0,0,3,0.008283,26.914,0.000,100.123,,,
60,753,204,60,24,15,17,10,9,7,5,3,1,4,2,1,1,0,0.007575,26.914,0.000,100.120,,,
70,731,215,55,18,10,17,11,9,8,4,4,7,2,1,0,0,0,0.007387,26.914,0.000,100.123,,,
80,713,203,52,22,13,16,17,8,3,4,2,5,2,0,0,0,0,0.007235,26.914,0.000,100.123,,,
90,691,189,56,23,7,12,6,5,4,4,7,7,3,1,1,0,2,0.006931,26.914,0.000,100.123,,,
100,683,170,57,26,12,15,4,8,6,6,4,1,2,0,0,0,0,0.019048,26.928,0.000,100.123,,,
110,680,191,55,11,13,14,10,12,6,7,4,6,6,0,0,0,3,0.006965,26.948,0.000,100.123,,,
120,699,182,65,40,15,8,10,7,6,6,6,5,2,0,0,1,0,0.007272,26.948,0.000,100.123,,,
130,739,196,65,21,9,15,6,11,7,3,6,2,3,2,1,1,1,0.007358,26.959,0.000,100.120,,,
140,714,182,74,17,9,12,7,4,10,7,5,2,1,1,1,0,3,0.007051,26.966,0.000,100.120,,,
150,681,194,61,23,13,11,10,9,13,4,5,4,0,2,0,0,1,0.007045,26.993,0.000,100.123,,,
160,689,219,62,16,14,10,9,9,5,3,4,1,3,0,0,0,1,0.007012,27.004,0.000,100.129,,,
170,721,208,54,18,22,15,5,9,5,7,3,2,3,0,1,0,1,0.007193,27.035,0.000,100.126,,,
180,689,174,58,31,11,23,4,11,7,7,3,3,1,0,0,0,1,0.006981,27.042,0.000,100.129,,,
190,674,185,53,18,15,12,5,6,7,5,4,5,3,0,0,1,1,0.006737,27.060,0.000,100.123,,,
200,651,168,65,15,17,10,9,8,5,3,5,4,4,0,1,0,1,0.007111,27.084,0.000,100.126,,,
210,702,213,56,18,12,14,5,7,7,8,5,2,5,3,0,0,3,0.007874,27.100,0.000,100.123,,,
220,738,220,61,18,18,12,7,10,7,7,7,2,1,0,0,1,0,0.008183,27.112,0.000,100.123,,,
