Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330173703
Firmware Version,1.4
Calibration Date,2021/08/11
Protocol Name_Number,ed-new_095
Test Start Time,11:41:13
Test Start Date,2024/02/28
Test Length [D:H:M:S],0:21:42:50
Sample Interval [H:M:S],0:0:10
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.070
DeadTime Correction Factor,1.000
Errors,
Number of Samples,7817
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
10,404,164,91,44,12,38,18,17,2,1,0,0,0,0,0,0,0,0.005365,35.430,0.000,100.881,,,
20,269,136,85,34,10,22,19,14,4,1,0,0,0,0,0,0,0,0.004192,35.351,0.000,100.872,,,
30,292,143,94,38,19,28,18,13,1,0,0,0,0,0,0,0,0,0.004618,35.321,0.000,100.885,,,
40,318,150,114,42,13,35,20,16,6,0,0,0,0,0,0,0,0,0.005048,35.321,0.000,100.878,,,
50,292,167,106,38,19,20,13,10,6,0,0,1,0,0,0,0,0,0.004821,35.321,0.000,100.881,,,
60,309,165,98,45,31,31,6,12,3,0,1,0,0,0,0,0,0,0.005054,35.355,0.000,100.885,,,
70,296,180,108,45,32,27,16,7,6,0,0,0,0,0,0,0,0,0.005229,35.362,0.000,100.875,,,
80,321,188,97,52,34,20,16,16,3,0,0,0,0,0,0,0,0,0.005403,35.375,0.000,100.878,,,
90,314,168,100,56,36,25,10,7,0,1,0,0,0,0,0,0,0,0.005230,35.392,0.000,100.881,,,
100,327,162,97,59,35,23,8,9,4,0,0,0,0,0,0,0,0,0.005279,35.415,0.000,100.875,,,
110,336,159,89,48,26,21,17,8,4,1,0,0,0,0,0,0,0,0.005062,35.415,0.000,100.875,,,
120,334,186,98,49,40,29,16,13,5,1,0,0,0,0,0,0,0,0.005565,35.449,0.000,100.875,,,
130,338,197,118,51,41,18,9,12,4,2,2,0,0,0,0,0,0,0.005812,35.453,0.000,100.878,,,
140,319,164,102,55,39,26,9,7,3,0,0,0,0,0,0,0,0,0.005218,35.453,0.000,100.888,,,
150,306,197,112,49,41,23,9,11,0,0,0,0,0,0,0,0,0,0.005411,35.453,0.000,100.878,,,
160,352,171,115,45,45,36,13,11,5,1,0,0,0,0,0,0,0,0.005780,35.449,0.000,100.888,,,
170,342,160,99,65,37,17,14,16,5,0,0,0,0,0,0,0,0,0.005498,35.453,0.000,100.885,,,
180,360,172,118,46,34,21,10,9,3,0,0,0,0,0,0,0,0,0.005560,35.453,0.000,100.881,,,
190,300,165,116,48,32,30,6,15,1,2,1,0,0,0,0,0,0,0.005458,35.453,0.000,100.881,,,
200,1709,481,118,33,28,16,12,13,3,1,0,2,1,1,0,3,3,0.015426,35.453,0.000,100.881,,,
210,5072,1616,261,37,18,9,3,12,8,6,3,0,2,0,0,0,0,0.043826,35.545,0.000,100.888,,,
220,5064,1631,265,31,16,11,8,7,9,1,0,3,1,0,0,0,0,0.044050,35.717,0.000,100.891,,,
230,5067,1662,271,32,16,14,3,13,8,6,5,1,0,0,0,0,0,0.044535,35.791,0.000,100.881,,,
240,5187,1598,264,36,8,16,6,16,10,10,4,4,1,0,0,0,0,0.044964,35.811,0.000,100.878,,,
250,3259,935,162,37,17,11,6,11,6,5,1,4,1,3,2,0,2,0.028068,35.813,0.000,100.878,,,
260,3500,985,193,50,21,9,10,10,4,6,1,4,4,0,0,1,4,0.030518,35.708,0.000,100.875,,,
270,5024,1352,227,44,17,14,10,9,3,7,4,4,1,2,3,0,4,0.042146,35.592,0.000,100.881,,,
280,5265,1420,221,32,25,22,8,12,1,5,5,3,3,2,3,1,1,0.043621,35.528,0.000,100.885,,,
290,5504,1487,222,32,19,12,3,7,6,3,4,3,2,1,0,0,3,0.045660,35.502,0.000,100.881,,,
300,5478,1539,238,41,13,12,4,5,4,6,1,2,1,1,0,0,1,0.045737,35.472,0.000,100.878,,,
310,5699,1560,218,43,20,10,5,7,7,1,0,0,0,1,0,1,0,0.047006,35.470,0.000,100.878,,,
320,5553,1604,247,38,19,13,10,5,3,0,3,4,1,0,1,0,2,0.046914,35.457,0.000,100.891,,,
330,5028,1392,239,48,23,19,10,12,4,4,2,1,1,2,0,2,1,0.042542,35.458,0.000,100.888,,,
340,1310,401,140,51,35,21,6,15,2,2,2,1,1,0,0,0,0,0.012997,35.457,0.000,100.885,,,
350,775,286,118,42,43,33,11,9,2,2,0,0,0,0,0,0,0,0.009071,35.419,0.000,100.891,,,
360,495,242,101,44,36,23,9,7,7,0,0,0,0,0,0,0,0,0.006774,35.415,0.000,100.894,,,
370,410,187,108,45,30,22,13,14,3,0,1,0,0,0,0,0,0,0.005966,35.415,0.000,100.897,,,
380,358,184,103,51,33,23,15,8,2,0,0,0,0,0,0,0,0,0.005631,35.415,0.000,100.888,,,
390,352,196,112,44,48,22,12,15,5,3,0,0,0,0,0,0,0,0.005801,35.415,0.000,100.881,,,
400,347,170,121,49,44,19,13,18,3,0,0,0,0,0,0,0,0,0.005652,35.438,0.000,100.897,,,
410,321,206,111,52,32,24,12,6,1,1,1,0,0,0,0,0,0,0.005526,35.453,0.000,100.900,,,
420,350,182,120,50,35,20,16,8,1,1,0,0,0,0,0,0,0,0.005665,35.453,0.000,100.888,,,
430,321,167,106,59,41,16,9,16,2,0,0,0,0,0,0,0,0,0.005381,35.453,0.000,100.875,,,
440,323,184,95,62,36,24,17,11,4,2,2,0,0,0,0,0,0,0.005570,35.462,0.000,100.894,,,
450,317,205,113,56,37,32,7,13,3,2,0,0,0,0,0,0,0,0.005796,35.472,0.000,100.888,,,
460,346,169,121,58,32,15,15,7,2,1,0,0,0,0,0,0,0,0.005526,35.472,0.000,100.891,,,
470,339,184,106,54,42,27,11,11,3,1,0,0,0,0,0,0,0,0.005616,35.472,0.000,100.885,,,
480,308,213,122,36,30,25,9,13,6,0,0,0,0,0,1,0,0,0.005517,35.472,0.000,100.885,,,
490,319,170,121,56,33,24,7,4,2,0,0,0,0,0,0,0,0,0.005396,35.472,0.000,100.891,,,
500,312,181,103,51,28,26,11,11,6,1,0,0,0,0,0,0,0,0.005253,35.479,0.000,100.894,,,
510,321,186,109,57,58,19,8,10,2,0,0,0,0,0,0,0,0,0.005790,35.498,0.000,100.891,,,
520,325,196,118,54,27,35,11,7,3,0,0,0,0,0,0,0,0,0.005659,35.506,0.000,100.881,,,
530,360,168,93,46,14,30,16,9,4,0,0,0,0,0,0,0,0,0.005270,35.509,0.000,100.885,,,
540,362,220,123,40,13,39,16,13,5,1,0,0,0,0,0,0,0,0.005908,35.509,0.000,100.888,,,
550,342,187,100,43,17,30,15,13,6,1,0,0,0,0,0,0,0,0.005314,35.509,0.000,100.894,,,
560,334,180,108,38,32,30,12,6,0,1,0,0,0,0,0,0,0,0.005399,35.509,0.000,100.891,,,
570,319,204,108,45,32,21,11,7,0,0,1,0,0,0,0,0,0,0.005355,35.509,0.000,100.888,,,
580,345,187,98,49,36,18,15,9,2,2,0,0,0,0,0,0,0,0.005508,35.509,0.000,100.888,,,
590,318,191,116,45,34,17,9,12,3,1,0,0,0,0,0,0,0,0.005437,35.509,0.000,100.888,,,
