Room,Value,Time,Type
Ruum 1,803.0,12:37 2023-05-24,CO2 ppm
Ruum 1,810.0,12:40 2023-05-24,CO2 ppm
Ruum 1,20.7,12:42 2023-05-24,t° C
Ruum 1,43.9,12:42 2023-05-24,RH %
Ruum 1,820.0,12:43 2023-05-24,CO2 ppm
Ruum 1,832.0,12:46 2023-05-24,CO2 ppm
Ruum 1,840.0,12:49 2023-05-24,CO2 ppm
Ruum 1,850.0,12:52 2023-05-24,CO2 ppm
Ruum 1,866.0,12:55 2023-05-24,CO2 ppm
Ruum 1,21.3,12:57 2023-05-24,t° C
Ruum 1,43.5,12:57 2023-05-24,RH %
Ruum 1,873.0,12:58 2023-05-24,CO2 ppm
Ruum 1,889.0,13:01 2023-05-24,CO2 ppm
Ruum 1,903.0,13:04 2023-05-24,CO2 ppm
Ruum 1,909.0,13:07 2023-05-24,CO2 ppm
Ruum 1,930.0,13:10 2023-05-24,CO2 ppm
Ruum 1,43.6,13:12 2023-05-24,RH %
Ruum 1,21.7,13:12 2023-05-24,t° C
Ruum 1,985.0,13:14 2023-05-24,CO2 ppm
Ruum 1,983.0,13:17 2023-05-24,CO2 ppm
Ruum 1,980.0,13:20 2023-05-24,CO2 ppm
Ruum 1,984.0,13:23 2023-05-24,CO2 ppm
Ruum 1,987.0,13:26 2023-05-24,CO2 ppm
Ruum 1,22.0,13:29 2023-05-24,t° C
Ruum 1,43.3,13:29 2023-05-24,RH %
Ruum 1,989.0,13:29 2023-05-24,CO2 ppm
Ruum 1,992.0,13:32 2023-05-24,CO2 ppm
Ruum 1,994.0,13:35 2023-05-24,CO2 ppm
Ruum 1,996.0,13:38 2023-05-24,CO2 ppm
Ruum 1,1004.0,13:41 2023-05-24,CO2 ppm
Ruum 1,22.3,13:44 2023-05-24,t° C
Ruum 1,43.1,13:44 2023-05-24,RH %
Ruum 1,1003.0,13:44 2023-05-24,CO2 ppm
Ruum 1,1004.0,13:47 2023-05-24,CO2 ppm
Ruum 1,996.0,13:50 2023-05-24,CO2 ppm
Ruum 1,986.0,13:53 2023-05-24,CO2 ppm
Ruum 1,990.0,13:56 2023-05-24,CO2 ppm
Ruum 1,22.4,13:58 2023-05-24,t° C
Ruum 1,42.9,13:58 2023-05-24,RH %
Ruum 1,992.0,13:59 2023-05-24,CO2 ppm
Ruum 1,1002.0,14:02 2023-05-24,CO2 ppm
Ruum 1,1064.0,14:05 2023-05-24,CO2 ppm
Ruum 1,1078.0,14:08 2023-05-24,CO2 ppm
Ruum 1,1101.0,14:11 2023-05-24,CO2 ppm
Ruum 1,22.6,14:14 2023-05-24,t° C
Ruum 1,43.4,14:14 2023-05-24,RH %
Ruum 1,1146.0,14:14 2023-05-24,CO2 ppm
Ruum 1,1173.0,14:17 2023-05-24,CO2 ppm
Ruum 1,1197.0,14:20 2023-05-24,CO2 ppm
Ruum 1,1232.0,14:23 2023-05-24,CO2 ppm
Ruum 1,1255.0,14:26 2023-05-24,CO2 ppm
Ruum 1,22.8,14:28 2023-05-24,t° C
Ruum 1,43.5,14:28 2023-05-24,RH %
Ruum 1,1260.0,14:29 2023-05-24,CO2 ppm
Ruum 1,1281.0,14:32 2023-05-24,CO2 ppm
Ruum 1,1291.0,14:35 2023-05-24,CO2 ppm
Ruum 1,1309.0,14:38 2023-05-24,CO2 ppm
Ruum 1,1289.0,14:41 2023-05-24,CO2 ppm
Ruum 1,22.8,14:43 2023-05-24,t° C
Ruum 1,39.8,14:43 2023-05-24,RH %
Ruum 1,1063.0,14:44 2023-05-24,CO2 ppm
Ruum 1,883.0,14:47 2023-05-24,CO2 ppm
Ruum 1,842.0,14:50 2023-05-24,CO2 ppm
Ruum 1,840.0,14:53 2023-05-24,CO2 ppm
Ruum 1,892.0,14:56 2023-05-24,CO2 ppm
Ruum 1,22.9,14:58 2023-05-24,t° C
Ruum 1,40.3,14:58 2023-05-24,RH %
Ruum 1,932.0,14:59 2023-05-24,CO2 ppm
Ruum 1,977.0,15:02 2023-05-24,CO2 ppm
Ruum 1,1011.0,15:05 2023-05-24,CO2 ppm
Ruum 1,1026.0,15:08 2023-05-24,CO2 ppm
Ruum 1,1038.0,15:11 2023-05-24,CO2 ppm
Ruum 1,23.0,15:13 2023-05-24,t° C
Ruum 1,41.0,15:13 2023-05-24,RH %
Ruum 1,1058.0,15:14 2023-05-24,CO2 ppm
Ruum 1,1071.0,15:17 2023-05-24,CO2 ppm
Ruum 1,1084.0,15:20 2023-05-24,CO2 ppm
Ruum 1,1100.0,15:23 2023-05-24,CO2 ppm
Ruum 1,1117.0,15:26 2023-05-24,CO2 ppm
Ruum 1,23.1,15:28 2023-05-24,t° C
Ruum 1,41.5,15:28 2023-05-24,RH %
Ruum 1,1126.0,15:29 2023-05-24,CO2 ppm
Ruum 1,1140.0,15:32 2023-05-24,CO2 ppm
Ruum 1,1154.0,15:35 2023-05-24,CO2 ppm
Ruum 1,1158.0,15:38 2023-05-24,CO2 ppm
Ruum 1,1162.0,15:41 2023-05-24,CO2 ppm
Ruum 1,23.2,15:43 2023-05-24,t° C
Ruum 1,41.8,15:43 2023-05-24,RH %
Ruum 1,1168.0,15:44 2023-05-24,CO2 ppm
Ruum 1,1182.0,15:47 2023-05-24,CO2 ppm
Ruum 1,1213.0,15:50 2023-05-24,CO2 ppm
Ruum 1,1232.0,15:53 2023-05-24,CO2 ppm
Ruum 1,1257.0,15:56 2023-05-24,CO2 ppm
Ruum 1,23.3,15:58 2023-05-24,t° C
Ruum 1,41.4,15:58 2023-05-24,RH %
Ruum 1,1214.0,15:59 2023-05-24,CO2 ppm
Ruum 1,1125.0,16:02 2023-05-24,CO2 ppm
Ruum 1,1132.0,16:05 2023-05-24,CO2 ppm
Ruum 1,1125.0,16:08 2023-05-24,CO2 ppm
Ruum 1,1102.0,16:11 2023-05-24,CO2 ppm
Ruum 1,23.4,16:13 2023-05-24,t° C
Ruum 1,40.4,16:13 2023-05-24,RH %
Ruum 1,1092.0,16:14 2023-05-24,CO2 ppm
Ruum 1,1079.0,16:17 2023-05-24,CO2 ppm
Ruum 1,1063.0,16:20 2023-05-24,CO2 ppm
Ruum 1,1053.0,16:23 2023-05-24,CO2 ppm
Ruum 1,1050.0,16:26 2023-05-24,CO2 ppm
Ruum 1,23.4,16:28 2023-05-24,t° C
Ruum 1,40.0,16:28 2023-05-24,RH %
Ruum 1,1039.0,16:29 2023-05-24,CO2 ppm
Ruum 1,1025.0,16:32 2023-05-24,CO2 ppm
Ruum 1,1024.0,16:35 2023-05-24,CO2 ppm
Ruum 1,1021.0,16:38 2023-05-24,CO2 ppm
Ruum 1,1019.0,16:41 2023-05-24,CO2 ppm
Ruum 1,23.5,16:43 2023-05-24,t° C
Ruum 1,39.7,16:43 2023-05-24,RH %
Ruum 1,1021.0,16:44 2023-05-24,CO2 ppm
Ruum 1,1013.0,16:47 2023-05-24,CO2 ppm
Ruum 1,986.0,16:50 2023-05-24,CO2 ppm
Ruum 1,972.0,16:53 2023-05-24,CO2 ppm
Ruum 1,968.0,16:56 2023-05-24,CO2 ppm
Ruum 1,23.5,16:58 2023-05-24,t° C
Ruum 1,39.0,16:58 2023-05-24,RH %
Ruum 1,961.0,16:59 2023-05-24,CO2 ppm
Ruum 1,940.0,17:02 2023-05-24,CO2 ppm
Ruum 1,938.0,17:05 2023-05-24,CO2 ppm
Ruum 1,911.0,17:08 2023-05-24,CO2 ppm
Ruum 1,908.0,17:11 2023-05-24,CO2 ppm
Ruum 1,23.5,17:13 2023-05-24,t° C
Ruum 1,38.6,17:13 2023-05-24,RH %
Ruum 1,898.0,17:14 2023-05-24,CO2 ppm
Ruum 1,891.0,17:17 2023-05-24,CO2 ppm
Ruum 1,886.0,17:20 2023-05-24,CO2 ppm
Ruum 1,881.0,17:23 2023-05-24,CO2 ppm
Ruum 1,880.0,17:26 2023-05-24,CO2 ppm
Ruum 1,23.5,17:28 2023-05-24,t° C
Ruum 1,38.0,17:28 2023-05-24,RH %
Ruum 1,881.0,17:29 2023-05-24,CO2 ppm
Ruum 1,880.0,17:32 2023-05-24,CO2 ppm
Ruum 1,900.0,17:35 2023-05-24,CO2 ppm
Ruum 1,927.0,17:38 2023-05-24,CO2 ppm
Ruum 1,968.0,17:41 2023-05-24,CO2 ppm
Ruum 1,23.6,17:43 2023-05-24,t° C
Ruum 1,39.1,17:43 2023-05-24,RH %
Ruum 1,987.0,17:44 2023-05-24,CO2 ppm
Ruum 1,1022.0,17:47 2023-05-24,CO2 ppm
Ruum 1,1035.0,17:50 2023-05-24,CO2 ppm
Ruum 1,1030.0,17:53 2023-05-24,CO2 ppm
Ruum 1,1020.0,17:56 2023-05-24,CO2 ppm
Ruum 1,23.6,17:58 2023-05-24,t° C
Ruum 1,38.1,17:58 2023-05-24,RH %
Ruum 1,1007.0,17:59 2023-05-24,CO2 ppm
Ruum 1,991.0,18:02 2023-05-24,CO2 ppm
Ruum 1,979.0,18:05 2023-05-24,CO2 ppm
Ruum 1,977.0,18:08 2023-05-24,CO2 ppm
Ruum 1,976.0,18:11 2023-05-24,CO2 ppm
Ruum 1,23.6,18:13 2023-05-24,t° C
Ruum 1,38.0,18:13 2023-05-24,RH %
Ruum 1,968.0,18:14 2023-05-24,CO2 ppm
Ruum 1,973.0,18:17 2023-05-24,CO2 ppm
Ruum 1,974.0,18:20 2023-05-24,CO2 ppm
Ruum 1,973.0,18:23 2023-05-24,CO2 ppm
Ruum 1,981.0,18:26 2023-05-24,CO2 ppm
Ruum 1,23.7,18:28 2023-05-24,t° C
Ruum 1,38.0,18:28 2023-05-24,RH %
Ruum 1,986.0,18:29 2023-05-24,CO2 ppm
Ruum 1,1008.0,18:32 2023-05-24,CO2 ppm
Ruum 1,1035.0,18:35 2023-05-24,CO2 ppm
Ruum 1,1017.0,18:38 2023-05-24,CO2 ppm
Ruum 1,1009.0,18:41 2023-05-24,CO2 ppm
Ruum 1,23.7,18:43 2023-05-24,t° C
Ruum 1,37.6,18:43 2023-05-24,RH %
Ruum 1,1012.0,18:44 2023-05-24,CO2 ppm
Ruum 1,1002.0,18:47 2023-05-24,CO2 ppm
Ruum 1,979.0,18:50 2023-05-24,CO2 ppm
Ruum 1,966.0,18:53 2023-05-24,CO2 ppm
Ruum 1,960.0,18:56 2023-05-24,CO2 ppm
Ruum 1,23.7,18:58 2023-05-24,t° C
Ruum 1,37.4,18:58 2023-05-24,RH %
Ruum 1,949.0,18:59 2023-05-24,CO2 ppm
Ruum 1,952.0,19:02 2023-05-24,CO2 ppm
Ruum 1,950.0,19:05 2023-05-24,CO2 ppm
Ruum 1,935.0,19:08 2023-05-24,CO2 ppm
Ruum 1,922.0,19:11 2023-05-24,CO2 ppm
Ruum 1,23.7,19:13 2023-05-24,t° C
