Room,Value,Time,Type
3F07,19.6,02:24 2023-12-01,t° C
3F07,47.5,02:24 2023-12-01,RH %
3F07,1255.0,02:24 2023-12-01,CO2 ppm
3F07,1246.0,02:39 2023-12-01,CO2 ppm
3F07,19.6,02:39 2023-12-01,t° C
3F07,47.6,02:39 2023-12-01,RH %
3F07,1240.0,02:54 2023-12-01,CO2 ppm
3F07,19.6,02:54 2023-12-01,t° C
3F07,47.6,02:54 2023-12-01,RH %
3F07,1237.0,03:09 2023-12-01,CO2 ppm
3F07,19.6,03:09 2023-12-01,t° C
3F07,47.6,03:09 2023-12-01,RH %
3F07,1233.0,03:24 2023-12-01,CO2 ppm
3F07,19.6,03:24 2023-12-01,t° C
3F07,47.7,03:24 2023-12-01,RH %
3F07,1229.0,03:39 2023-12-01,CO2 ppm
3F07,19.6,03:39 2023-12-01,t° C
3F07,47.7,03:39 2023-12-01,RH %
3F07,1222.0,03:54 2023-12-01,CO2 ppm
3F07,19.6,03:54 2023-12-01,t° C
3F07,47.7,03:54 2023-12-01,RH %
3F07,1214.0,04:09 2023-12-01,CO2 ppm
3F07,19.6,04:09 2023-12-01,t° C
3F07,47.7,04:09 2023-12-01,RH %
3F07,1212.0,04:24 2023-12-01,CO2 ppm
3F07,19.5,04:24 2023-12-01,t° C
3F07,47.7,04:24 2023-12-01,RH %
3F07,1205.0,04:39 2023-12-01,CO2 ppm
3F07,19.5,04:39 2023-12-01,t° C
3F07,47.8,04:39 2023-12-01,RH %
3F07,1201.0,04:54 2023-12-01,CO2 ppm
3F07,19.5,04:54 2023-12-01,t° C
3F07,47.8,04:54 2023-12-01,RH %
3F07,1199.0,05:09 2023-12-01,CO2 ppm
3F07,19.5,05:09 2023-12-01,t° C
3F07,47.8,05:09 2023-12-01,RH %
3F07,1187.0,05:24 2023-12-01,CO2 ppm
3F07,19.5,05:24 2023-12-01,t° C
3F07,47.8,05:24 2023-12-01,RH %
3F07,1184.0,05:39 2023-12-01,CO2 ppm
3F07,19.5,05:39 2023-12-01,t° C
3F07,47.8,05:39 2023-12-01,RH %
3F07,1178.0,05:54 2023-12-01,CO2 ppm
3F07,19.5,05:54 2023-12-01,t° C
3F07,47.8,05:54 2023-12-01,RH %
3F07,1168.0,06:09 2023-12-01,CO2 ppm
3F07,19.5,06:09 2023-12-01,t° C
3F07,47.9,06:09 2023-12-01,RH %
3F07,1158.0,06:24 2023-12-01,CO2 ppm
3F07,19.5,06:24 2023-12-01,t° C
3F07,47.8,06:24 2023-12-01,RH %
3F07,1149.0,06:39 2023-12-01,CO2 ppm
3F07,19.5,06:39 2023-12-01,t° C
3F07,47.9,06:39 2023-12-01,RH %
3F07,1138.0,06:54 2023-12-01,CO2 ppm
3F07,19.5,06:54 2023-12-01,t° C
3F07,47.8,06:54 2023-12-01,RH %
3F07,1129.0,07:09 2023-12-01,CO2 ppm
3F07,19.5,07:09 2023-12-01,t° C
3F07,47.8,07:09 2023-12-01,RH %
3F07,1117.0,07:24 2023-12-01,CO2 ppm
3F07,19.5,07:24 2023-12-01,t° C
3F07,47.9,07:24 2023-12-01,RH %
3F07,1111.0,07:39 2023-12-01,CO2 ppm
3F07,19.5,07:39 2023-12-01,t° C
3F07,47.9,07:39 2023-12-01,RH %
3F07,1106.0,07:54 2023-12-01,CO2 ppm
3F07,19.5,07:54 2023-12-01,t° C
3F07,47.8,07:54 2023-12-01,RH %
3F07,1095.0,08:09 2023-12-01,CO2 ppm
3F07,19.5,08:09 2023-12-01,t° C
3F07,47.8,08:09 2023-12-01,RH %
3F07,1084.0,08:24 2023-12-01,CO2 ppm
3F07,19.5,08:24 2023-12-01,t° C
3F07,47.8,08:24 2023-12-01,RH %
3F07,1075.0,08:39 2023-12-01,CO2 ppm
3F07,19.5,08:39 2023-12-01,t° C
3F07,47.8,08:39 2023-12-01,RH %
3F07,1066.0,08:54 2023-12-01,CO2 ppm
3F07,19.5,08:54 2023-12-01,t° C
3F07,47.8,08:54 2023-12-01,RH %
3F07,1049.0,09:09 2023-12-01,CO2 ppm
3F07,19.5,09:09 2023-12-01,t° C
3F07,47.7,09:09 2023-12-01,RH %
3F07,1014.0,09:24 2023-12-01,CO2 ppm
3F07,19.4,09:24 2023-12-01,t° C
3F07,47.6,09:24 2023-12-01,RH %
3F07,998.0,09:39 2023-12-01,CO2 ppm
3F07,19.4,09:39 2023-12-01,t° C
3F07,47.6,09:39 2023-12-01,RH %
3F07,981.0,09:54 2023-12-01,CO2 ppm
3F07,19.4,09:54 2023-12-01,t° C
3F07,47.6,09:54 2023-12-01,RH %
3F07,974.0,10:09 2023-12-01,CO2 ppm
3F07,19.4,10:09 2023-12-01,t° C
3F07,47.6,10:09 2023-12-01,RH %
3F07,967.0,10:24 2023-12-01,CO2 ppm
3F07,19.4,10:24 2023-12-01,t° C
3F07,47.7,10:24 2023-12-01,RH %
3F07,962.0,10:39 2023-12-01,CO2 ppm
3F07,19.4,10:39 2023-12-01,t° C
3F07,47.7,10:39 2023-12-01,RH %
3F07,19.4,10:54 2023-12-01,t° C
