Room,Value,Time,Type
3FAD,47.2,02:23 2023-12-01,RH %
3FAD,19.6,02:23 2023-12-01,t° C
3FAD,1259.0,02:23 2023-12-01,CO2 ppm
3FAD,1259.0,02:38 2023-12-01,CO2 ppm
3FAD,19.6,02:38 2023-12-01,t° C
3FAD,47.3,02:38 2023-12-01,RH %
3FAD,1253.0,02:53 2023-12-01,CO2 ppm
3FAD,19.6,02:53 2023-12-01,t° C
3FAD,47.4,02:53 2023-12-01,RH %
3FAD,1245.0,03:08 2023-12-01,CO2 ppm
3FAD,19.6,03:08 2023-12-01,t° C
3FAD,47.3,03:08 2023-12-01,RH %
3FAD,1238.0,03:23 2023-12-01,CO2 ppm
3FAD,19.5,03:23 2023-12-01,t° C
3FAD,47.3,03:23 2023-12-01,RH %
3FAD,1233.0,03:38 2023-12-01,CO2 ppm
3FAD,19.5,03:38 2023-12-01,t° C
3FAD,47.4,03:38 2023-12-01,RH %
3FAD,1227.0,03:53 2023-12-01,CO2 ppm
3FAD,19.5,03:53 2023-12-01,t° C
3FAD,47.4,03:53 2023-12-01,RH %
3FAD,1224.0,04:08 2023-12-01,CO2 ppm
3FAD,19.5,04:08 2023-12-01,t° C
3FAD,47.4,04:08 2023-12-01,RH %
3FAD,1215.0,04:18 2023-12-01,CO2 ppm
3FAD,1216.0,04:23 2023-12-01,CO2 ppm
3FAD,19.5,04:23 2023-12-01,t° C
3FAD,47.4,04:23 2023-12-01,RH %
3FAD,1212.0,04:38 2023-12-01,CO2 ppm
3FAD,19.5,04:38 2023-12-01,t° C
3FAD,47.4,04:38 2023-12-01,RH %
3FAD,1206.0,04:53 2023-12-01,CO2 ppm
3FAD,19.5,04:53 2023-12-01,t° C
3FAD,47.4,04:53 2023-12-01,RH %
3FAD,1201.0,05:08 2023-12-01,CO2 ppm
3FAD,19.5,05:08 2023-12-01,t° C
3FAD,47.4,05:08 2023-12-01,RH %
3FAD,1196.0,05:23 2023-12-01,CO2 ppm
3FAD,19.5,05:23 2023-12-01,t° C
3FAD,47.5,05:23 2023-12-01,RH %
3FAD,1191.0,05:38 2023-12-01,CO2 ppm
3FAD,19.5,05:38 2023-12-01,t° C
3FAD,47.5,05:38 2023-12-01,RH %
3FAD,1186.0,05:53 2023-12-01,CO2 ppm
3FAD,19.5,05:53 2023-12-01,t° C
3FAD,47.5,05:53 2023-12-01,RH %
3FAD,1177.0,06:08 2023-12-01,CO2 ppm
3FAD,19.5,06:08 2023-12-01,t° C
3FAD,47.5,06:08 2023-12-01,RH %
3FAD,1165.0,06:23 2023-12-01,CO2 ppm
3FAD,19.5,06:23 2023-12-01,t° C
3FAD,47.5,06:23 2023-12-01,RH %
3FAD,1156.0,06:38 2023-12-01,CO2 ppm
3FAD,19.5,06:38 2023-12-01,t° C
3FAD,47.5,06:38 2023-12-01,RH %
3FAD,1148.0,06:53 2023-12-01,CO2 ppm
3FAD,19.5,06:53 2023-12-01,t° C
3FAD,47.5,06:53 2023-12-01,RH %
3FAD,1142.0,07:08 2023-12-01,CO2 ppm
3FAD,19.5,07:08 2023-12-01,t° C
3FAD,47.5,07:08 2023-12-01,RH %
3FAD,1132.0,07:23 2023-12-01,CO2 ppm
3FAD,19.5,07:23 2023-12-01,t° C
3FAD,47.5,07:23 2023-12-01,RH %
3FAD,1122.0,07:38 2023-12-01,CO2 ppm
3FAD,19.5,07:38 2023-12-01,t° C
3FAD,47.5,07:38 2023-12-01,RH %
3FAD,1112.0,07:53 2023-12-01,CO2 ppm
3FAD,19.5,07:53 2023-12-01,t° C
3FAD,47.4,07:53 2023-12-01,RH %
3FAD,1107.0,08:08 2023-12-01,CO2 ppm
