experiment;reference;parameter;avg;device_id;R2;a;b;RMSE;nRMSE;r;device_type;location_type
office;Palas AQ-Guard;RH;5 min;149;0.882;0.946;5.000;2.880;6.870;0.939;LAS_PID;indoor
office;Palas AQ-Guard;RH;5 min;150;0.931;0.992;3.450;3.170;7.560;0.965;LAS_PID;indoor
office;Palas AQ-Guard;RH;5 min;151;0.926;0.939;8.550;6.040;14.400;0.962;LAS_PID;indoor
office;Palas AQ-Guard;RH;5 min;mean;0.913;0.959;5.670;4.030;9.610;0.955;LAS_PID;indoor
office;Palas AQ-Guard;air_temp;5 min;149;0.853;0.918;3.260;1.510;6.870;0.923;LAS_PID;indoor
office;Palas AQ-Guard;air_temp;5 min;150;0.907;0.924;2.530;0.922;4.190;0.952;LAS_PID;indoor
office;Palas AQ-Guard;air_temp;5 min;151;0.907;0.882;3.960;1.390;6.300;0.952;LAS_PID;indoor
office;Palas AQ-Guard;air_temp;5 min;mean;0.889;0.908;3.250;1.270;5.790;0.943;LAS_PID;indoor
office;Palas AQ-Guard;CO2;5 min;149;0.984;1.000;134.000;141.000;14.500;0.992;LAS_PID;indoor
office;Palas AQ-Guard;CO2;5 min;150;0.985;1.040;141.000;185.000;19.000;0.992;LAS_PID;indoor
office;Palas AQ-Guard;CO2;5 min;151;0.976;0.966;-6.670;66.700;6.850;0.988;LAS_PID;indoor
office;Palas AQ-Guard;CO2;5 min;mean;0.982;1.000;89.500;131.000;13.500;0.991;LAS_PID;indoor
office;Palas AQ-Guard;VOC;5 min;149;0.405;0.015;170.000;1140.000;103.000;0.637;LAS_PID;indoor
office;Palas AQ-Guard;VOC;5 min;150;0.291;0.010;146.000;1170.000;105.000;0.539;LAS_PID;indoor
office;Palas AQ-Guard;VOC;5 min;151;0.332;0.011;179.000;1140.000;103.000;0.576;LAS_PID;indoor
office;Palas AQ-Guard;VOC;5 min;mean;0.343;0.011;165.000;1148.000;103.000;0.584;LAS_PID;indoor
office;Palas AQ-Guard;VOC_P3;5 min;151;0.001;0.000;300.000;1060.000;95.200;0.032;LAS_PID;indoor
office;Palas AQ-Guard;PM02.5;5 min;149;0.975;0.987;-0.133;0.471;20.500;0.988;LAS_PID;indoor
office;Palas AQ-Guard;PM02.5;5 min;150;0.978;1.020;-0.199;0.458;20.000;0.989;LAS_PID;indoor
office;Palas AQ-Guard;PM02.5;5 min;151;0.976;0.998;-0.214;0.492;21.400;0.988;LAS_PID;indoor
office;Palas AQ-Guard;PM02.5;5 min;mean;0.976;1.000;-0.182;0.474;20.600;0.988;LAS_PID;indoor
office;Palas AQ-Guard;PM10;5 min;149;0.863;0.756;-0.137;1.620;53.300;0.929;LAS_PID;indoor
office;Palas AQ-Guard;PM10;5 min;150;0.866;0.778;-0.189;1.590;52.200;0.930;LAS_PID;indoor
office;Palas AQ-Guard;PM10;5 min;151;0.863;0.757;-0.200;1.650;54.500;0.929;LAS_PID;indoor
office;Palas AQ-Guard;PM10;5 min;mean;0.864;0.908;3.250;1.270;53.300;0.943;LAS_PID;indoor
office;Palas AQ-Guard;RH;1 hour;149;0.904;0.936;5.430;2.840;6.770;0.951;LAS_PID;indoor
office;Palas AQ-Guard;RH;1 hour;150;0.954;0.983;3.790;3.130;7.470;0.977;LAS_PID;indoor
office;Palas AQ-Guard;RH;1 hour;151;0.953;0.929;8.970;6.020;14.300;0.976;LAS_PID;indoor
office;Palas AQ-Guard;RH;1 hour;mean;0.937;0.949;6.070;4.000;9.530;0.968;LAS_PID;indoor
office;Palas AQ-Guard;air_temp;1 hour;149;0.896;0.969;2.150;1.500;6.810;0.947;LAS_PID;indoor
office;Palas AQ-Guard;air_temp;1 hour;150;0.947;0.970;1.540;0.900;4.090;0.973;LAS_PID;indoor
office;Palas AQ-Guard;air_temp;1 hour;151;0.943;0.924;3.030;1.370;6.240;0.971;LAS_PID;indoor
office;Palas AQ-Guard;air_temp;1 hour;mean;0.929;0.954;2.240;1.260;5.710;0.964;LAS_PID;indoor
office;Palas AQ-Guard;CO2;1 hour;149;0.984;1.000;131.000;142.000;14.500;0.992;LAS_PID;indoor
office;Palas AQ-Guard;CO2;1 hour;150;0.986;1.040;140.000;186.000;19.000;0.993;LAS_PID;indoor
office;Palas AQ-Guard;CO2;1 hour;151;0.976;0.968;-7.570;65.900;6.740;0.988;LAS_PID;indoor
office;Palas AQ-Guard;CO2;1 hour;mean;0.982;1.000;87.800;131.000;13.400;0.991;LAS_PID;indoor
office;Palas AQ-Guard;VOC;1 hour;149;0.462;0.015;170.000;1150.000;103.000;0.680;LAS_PID;indoor
office;Palas AQ-Guard;VOC;1 hour;150;0.364;0.010;146.000;1180.000;105.000;0.603;LAS_PID;indoor
office;Palas AQ-Guard;VOC;1 hour;151;0.382;0.011;179.000;1150.000;103.000;0.618;LAS_PID;indoor
office;Palas AQ-Guard;VOC;1 hour;mean;0.403;0.012;165.000;1161.000;104.000;0.643;LAS_PID;indoor
office;Palas AQ-Guard;VOC_P3;1 hour;151;0.014;0.001;299.000;1070.000;95.300;0.118;LAS_PID;indoor
office;Palas AQ-Guard;PM02.5;1 hour;149;0.981;0.992;-0.135;0.433;18.300;0.991;LAS_PID;indoor
office;Palas AQ-Guard;PM02.5;1 hour;150;0.984;1.030;-0.196;0.420;17.800;0.992;LAS_PID;indoor
office;Palas AQ-Guard;PM02.5;1 hour;151;0.974;1.000;-0.213;0.521;22.000;0.987;LAS_PID;indoor
office;Palas AQ-Guard;PM02.5;1 hour;mean;0.980;1.010;-0.181;0.458;19.400;0.990;LAS_PID;indoor
office;Palas AQ-Guard;PM10;1 hour;149;0.901;0.789;-0.228;1.510;48.200;0.949;LAS_PID;indoor
office;Palas AQ-Guard;PM10;1 hour;150;0.903;0.806;-0.272;1.480;47.300;0.950;LAS_PID;indoor
office;Palas AQ-Guard;PM10;1 hour;151;0.899;0.792;-0.293;1.550;49.400;0.948;LAS_PID;indoor
