experiment;reference;parameter;avg;device_id;R2;a;b;RMSE;nRMSE;r;device_type;location_type
Zagreb_intercomparison;LS_169;CO;15 min;1;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;10;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;11;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;12;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;13;;0.000;0.000;130.000;112.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;14;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;15;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;2;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;4;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;5;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;6;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;7;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;8;;0.000;0.000;130.000;112.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;9;0.500;0.000;1.000;129.000;111.000;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO;15 min;mean;0.500;0.000;0.857;129.143;111.143;;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;1;0.287;29.400;-7940.000;3750.000;1000.000;0.536;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;10;0.061;-1.000;1940.000;1210.000;322.000;-0.247;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;11;0.143;-4.280;4370.000;2460.000;657.000;-0.379;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;12;0.009;-0.495;1740.000;1210.000;323.000;-0.096;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;13;0.028;-1.120;2310.000;1560.000;416.000;-0.169;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;14;0.007;0.807;1830.000;1820.000;487.000;0.081;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;15;0.009;0.462;972.000;805.000;215.000;0.097;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;2;0.002;-1.530;1290.000;1780.000;477.000;-0.042;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;4;0.059;-1.190;1770.000;983.000;263.000;-0.243;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;5;0.057;-1.180;2160.000;1360.000;365.000;-0.238;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;6;0.110;-4.500;4700.000;2730.000;730.000;-0.331;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;7;0.248;-21.600;13000.000;4990.000;1330.000;-0.498;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;8;0.005;-0.313;1960.000;1490.000;397.000;-0.070;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;9;0.057;-1.220;2240.000;1430.000;382.000;-0.238;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;CO2;15 min;mean;0.077;-0.554;2310.143;1969.857;526.000;-0.131;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;PM02.5;15 min;1;0.958;1.040;-0.008;0.424;16.200;0.979;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;PM02.5;15 min;10;0.957;1.070;0.122;0.540;20.700;0.978;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;PM02.5;15 min;11;0.944;1.180;0.097;0.863;33.000;0.972;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;PM02.5;15 min;12;0.932;1.130;0.103;0.761;29.100;0.966;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;PM02.5;15 min;13;0.927;1.160;0.020;0.827;31.700;0.963;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;PM02.5;15 min;14;0.954;1.090;0.022;0.551;21.100;0.977;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;PM02.5;15 min;15;0.980;1.030;0.194;0.398;15.200;0.990;Wings_indoor;indoor
Zagreb_intercomparison;LS_169;PM02.5;15 min;2;0.950;1.070;-0.034;0.499;19.100;0.975;Wings_indoor;indoor
